餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
甜豆屋 2D Dessert,Eva Lien,在地嚮導 · 42 則評論 · 76 張相片,3 天前,5 顆星,風格很可愛，豆花二號料多，好吃😋
甜豆屋 2D Dessert,吳秋玫,11 則評論,4 天前,5 顆星,這間的甜豆都很好吃
甜豆屋 2D Dessert,Chen Mr.,7 則評論 · 2 張相片,4 天前,5 顆星,好吃
甜豆屋 2D Dessert,蔡以平,在地嚮導 · 81 則評論 · 47 張相片,1 週前,5 顆星,"環境舒適
商品美味
五星評論送指定加料"
甜豆屋 2D Dessert,陳秉安,10 則評論 · 3 張相片,1 週前,5 顆星,走過路過不要錯過 逢甲必吃甜點店🤩
甜豆屋 2D Dessert,Fakeaccount,在地嚮導 · 23 則評論 · 16 張相片,1 週前,5 顆星,
甜豆屋 2D Dessert,Lydia T.,在地嚮導 · 24 則評論 · 51 張相片,1 週前,5 顆星,風格很可愛，甜點擺拍美美的～薑汁豆花味道很不錯，湯圓很很好吃～日式豆花很新奇
甜豆屋 2D Dessert,TANG,在地嚮導 · 17 則評論 · 7 張相片,1 週前,5 顆星,空間大小剛好 氣氛好
甜豆屋 2D Dessert,Pei Ting Lo,1 則評論,2 週前,5 顆星,
甜豆屋 2D Dessert,藍裕盛,9 則評論 · 4 張相片,2 週前,5 顆星,推推推快來吃
甜豆屋 2D Dessert,馮梵于,7 則評論 · 2 張相片,2 週前,5 顆星,好吃！ ！ ！
甜豆屋 2D Dessert,張尚宇,在地嚮導 · 42 則評論 · 13 張相片,2 週前,5 顆星,好吃
甜豆屋 2D Dessert,宇俊,在地嚮導 · 117 則評論 · 429 張相片,2 週前,3 顆星,跟匠豆花比起來，CP真的不高
甜豆屋 2D Dessert,海島沒有冬天,2 則評論 · 2 張相片,2 週前,5 顆星,環境很可愛，餐點選擇很多
甜豆屋 2D Dessert,王Kiki,9 則評論 · 5 張相片,3 週前,5 顆星,來逢甲夜市 逛記得要來吃 好吃  打卡
甜豆屋 2D Dessert,36黃心沛,1 則評論 · 1 張相片,3 週前,5 顆星,老闆人很好 冰很好吃😋 …
