餐廳名稱,餐廳連結,latitude,longitude,distance
甜豆屋 2D Dessert,https://www.google.com/maps/place/%E7%94%9C%E8%B1%86%E5%B1%8B+2D+Dessert/data=!4m7!3m6!1s0x346917a601912f63:0xec90791cbea2a8f5!8m2!3d24.1795421!4d120.6455996!16s%2Fg%2F11sf2c9bcn!19sChIJYy-RAaYXaTQR9aiivhx5kOw?authuser=0&hl=zh-TW&rclk=1,,,
逢甲客家湯圓,https://www.google.com/maps/place/%E9%80%A2%E7%94%B2%E5%AE%A2%E5%AE%B6%E6%B9%AF%E5%9C%93/data=!4m7!3m6!1s0x34691621937dd1c9:0x899af42d49ce71f2!8m2!3d24.1755846!4d120.6445755!16s%2Fg%2F11b77ppj1q!19sChIJydF9kyEWaTQR8nHOSS30mok?authuser=0&hl=zh-TW&rclk=1,,,
peropero gelato 沛樂義式冰淇淋,https://www.google.com/maps/place/peropero+gelato+%E6%B2%9B%E6%A8%82%E7%BE%A9%E5%BC%8F%E5%86%B0%E6%B7%87%E6%B7%8B/data=!4m7!3m6!1s0x3469173991b79867:0x8b1718e2566e8c9c!8m2!3d24.1802617!4d120.6454656!16s%2Fg%2F11sjgb8xcz!19sChIJZ5i3kTkXaTQRnIxuVuIYF4s?authuser=0&hl=zh-TW&rclk=1,,,
小胖薏仁湯,https://www.google.com/maps/place/%E5%B0%8F%E8%83%96%E8%96%8F%E4%BB%81%E6%B9%AF/data=!4m7!3m6!1s0x3469161811f58ed5:0x633a60b1554a581d!8m2!3d24.1799156!4d120.645095!16s%2Fg%2F11b6_jjxmm!19sChIJ1Y71ERgWaTQRHVhKVbFgOmM?authuser=0&hl=zh-TW&rclk=1,,,
打鐵豆花舖 河南店,https://www.google.com/maps/place/%E6%89%93%E9%90%B5%E8%B1%86%E8%8A%B1%E8%88%96+%E6%B2%B3%E5%8D%97%E5%BA%97/data=!4m7!3m6!1s0x34691621384df32d:0x5456092a6bcdf9ab!8m2!3d24.1744253!4d120.6480206!16s%2Fg%2F11g_y5tgh!19sChIJLfNNOCEWaTQRq_nNayoJVlQ?authuser=0&hl=zh-TW&rclk=1,,,
大甲芋頭城逢甲店,https://www.google.com/maps/place/%E5%A4%A7%E7%94%B2%E8%8A%8B%E9%A0%AD%E5%9F%8E%E9%80%A2%E7%94%B2%E5%BA%97/data=!4m7!3m6!1s0x34691622496b9e07:0x61cd0ffc326d8cb2!8m2!3d24.1779569!4d120.645437!16s%2Fg%2F1tdw5syf!19sChIJB55rSSIWaTQRsoxtMvwPzWE?authuser=0&hl=zh-TW&rclk=1,,,
御品元冰火湯圓-台中逢甲店,https://www.google.com/maps/place/%E5%BE%A1%E5%93%81%E5%85%83%E5%86%B0%E7%81%AB%E6%B9%AF%E5%9C%93-%E5%8F%B0%E4%B8%AD%E9%80%A2%E7%94%B2%E5%BA%97/data=!4m7!3m6!1s0x3469162320af87b3:0xd60c74180c10160!8m2!3d24.1805833!4d120.6458485!16s%2Fg%2F11c1_vssm_!19sChIJs4evICMWaTQRYAHBgEHHYA0?authuser=0&hl=zh-TW&rclk=1,,,
2度C NiGuo 逢甲店-西屯人氣甜點|甜點推薦|手作甜點|特色蛋糕|必吃甜點|手工甜點|熱門甜品|甜品專賣店|必吃甜品,https://www.google.com/maps/place/2%E5%BA%A6C+NiGuo+%E9%80%A2%E7%94%B2%E5%BA%97-%E8%A5%BF%E5%B1%AF%E4%BA%BA%E6%B0%A3%E7%94%9C%E9%BB%9E%7C%E7%94%9C%E9%BB%9E%E6%8E%A8%E8%96%A6%7C%E6%89%8B%E4%BD%9C%E7%94%9C%E9%BB%9E%7C%E7%89%B9%E8%89%B2%E8%9B%8B%E7%B3%95%7C%E5%BF%85%E5%90%83%E7%94%9C%E9%BB%9E%7C%E6%89%8B%E5%B7%A5%E7%94%9C%E9%BB%9E%7C%E7%86%B1%E9%96%80%E7%94%9C%E5%93%81%7C%E7%94%9C%E5%93%81%E5%B0%88%E8%B3%A3%E5%BA%97%7C%E5%BF%85%E5%90%83%E7%94%9C%E5%93%81/data=!4m7!3m6!1s0x34691700a3f4d74f:0x9daf622d01fd42d6!8m2!3d24.1751702!4d120.6467454!16s%2Fg%2F11j5395s9s!19sChIJT9f0owAXaTQR1kL9AS1ir50?authuser=0&hl=zh-TW&rclk=1,,,
法布甜 台中逢甲門市,https://www.google.com/maps/place/%E6%B3%95%E5%B8%83%E7%94%9C+%E5%8F%B0%E4%B8%AD%E9%80%A2%E7%94%B2%E9%96%80%E5%B8%82/data=!4m7!3m6!1s0x3469170077c8578f:0x107967cff14be76f!8m2!3d24.1757784!4d120.645809!16s%2Fg%2F11vz1k32lw!19sChIJj1fIdwAXaTQRb-dL8c9neRA?authuser=0&hl=zh-TW&rclk=1,,,
臻圓滿,https://www.google.com/maps/place/%E8%87%BB%E5%9C%93%E6%BB%BF/data=!4m7!3m6!1s0x3469177cd3d5396f:0xda70db2eacd0bdc9!8m2!3d24.178687!4d120.646346!16s%2Fg%2F11wq9d3v7x!19sChIJbznV03wXaTQRyb3QrC7bcNo?authuser=0&hl=zh-TW&rclk=1,,,
統元豆花 中央公園店,https://www.google.com/maps/place/%E7%B5%B1%E5%85%83%E8%B1%86%E8%8A%B1+%E4%B8%AD%E5%A4%AE%E5%85%AC%E5%9C%92%E5%BA%97/data=!4m7!3m6!1s0x34691769e9a20e65:0x8bdc4daa99f512f0!8m2!3d24.1761452!4d120.6504272!16s%2Fg%2F11n7cj09t1!19sChIJZQ6i6WkXaTQR8BL1mapN3Is?authuser=0&hl=zh-TW&rclk=1,,,
有口芙 × 有在喝 （日式職人泡芙 × 世界精品茶飲）,https://www.google.com/maps/place/%E6%9C%89%E5%8F%A3%E8%8A%99+%C3%97+%E6%9C%89%E5%9C%A8%E5%96%9D+%EF%BC%88%E6%97%A5%E5%BC%8F%E8%81%B7%E4%BA%BA%E6%B3%A1%E8%8A%99+%C3%97+%E4%B8%96%E7%95%8C%E7%B2%BE%E5%93%81%E8%8C%B6%E9%A3%B2%EF%BC%89/data=!4m7!3m6!1s0x346917183bc147f1:0xf1e47a15a09d3574!8m2!3d24.1756475!4d120.6449486!16s%2Fg%2F11jzsblx33!19sChIJ8UfBOxgXaTQRdDWdoBV65PE?authuser=0&hl=zh-TW&rclk=1,,,
