author,rating,text
Kenny Hsu,5 顆星,老闆人很客氣， 古早味的糯米腸很好吃， 他的中藥養生湯也非常的好喝。 會想再來光顧的好選擇。
瑪南·那米林岸（阿希達卡）,5 顆星,"位於巷弄中的這家中藥坊開設的元氣雞湯，是寒冬裡不可錯過的一道溫暖滋味。一走進店內，便被滿室的藥香和濃濃的人情味包圍。這裡的雞湯以中藥和新鮮食材精心熬煮，湯頭清甜且不油膩，帶有濃郁卻不刺鼻的中藥香氣，入口後更是溫暖心胃，令人忍不住一口接一口😋

雞肉燉得恰到好處，柔嫩入味，幾乎不用費力咀嚼就能享受到它的香甜。老闆熱情又細心的服務更是為這次的用餐體驗加分不少。他特製的滷大腸腸，滷汁醇厚，口感彈韌；而手工糯米腸更是令人驚豔，糯米飽滿、香氣撲鼻，每一口都充滿紮實的幸福感😁

在這寒冷的冬季，品嘗這碗元氣雞湯，既暖身又暖心。無論是來一場家人聚餐，還是獨自小酌，都能感受到老闆對食材的用心以及對顧客的熱忱。這樣的美味，值得反覆回味，絕對是冬日裡的一大享受👍

🔔另外提醒🔔
每日數量有限，賣完就提早打烊了😁"
chen alvin,5 顆星,這是我吃過最正宗最道地的糯米腸，皮Q不軟爛，糯米好吃也不會脹氣，老闆用心準備的好美食！老闆真是很有愛的在準備跟清洗，吃起來完全沒有外面一般那種不好的豬味，真心大力推薦！
yu-chun Hsiao,5 顆星,"位在中藥店外的小攤，糯米腸是老闆自己做的，賣完就收攤了喔！
元氣雞湯、御膳雞湯用的中藥材就是後面這中藥店的，真材實料
路過別錯過，士林必吃"
喬,5 顆星,"雞湯非常好喝，喜歡清爽的可以喝元氣雞湯，喜歡甜味或是濃郁口感的可以喝御膳雞湯。
糯米腸搭配辣椒超好吃。"
Yi ting Hsu,5 顆星,坐落在安靜的小巷子裡，老闆很親切，終於吃到了令人懷念的奶奶的手作味道，有機會會帶朋友家人來吃☺️
沙拉飯團,5 顆星,"在走廊賣我猶豫超級久，常路過都不敢買，雖然朋友一直推
那天路過鼓起勇氣買了，真的超級好吃，馬上再回訪
喜歡辣的一定要加辣椒
雞湯也很好喝"
DonDon Shih,5 顆星,"冷冷的天氣最適合來碗燙燙的雞湯～
和朋友晃晃隨意逛街路過的小攤販有著可愛親切的老闆～忙碌之中還幫我們拍合照🧡專心只做糯米腸（70元）與雞湯（90元）～雞肉不柴、黑棗香甜，真的很好吃😋聽老闆說2025年要搬去板橋了真可惜(>﹏<) …"
Claire Wang,5 顆星,"老闆人好
雞湯清甜
糯米腸開胃 …"
史黛拉,5 顆星,"米腸好吃
雞湯好喝 養生的感覺
老闆有什麼疑問都會詳細解說，服務很棒"
