author,rating,content,time
Je ming 振銘,4 顆星,"士林夜市曾經是台灣最有人氣，人潮最多的夜市。
剛開始的夜市入口是在劍潭站那個方向，後來改到大南路那裡，現在夜市中心變成士林的信仰中心慈誠宮。整個夜市的繁榮沒落方向一直在變化…..可能這個因素導致士林夜市競爭力越來越薄弱….. …",2 週前
小延鄭,4 顆星,士林夜市算是我最愛的夜市前三名，因為疫情及少了觀光客人潮，有點小落沒，曾幾何時是我每週必來二次的夜市，無論吃喝玩樂通通都有，尤其是女生購物的天堂,1 週前
陶茂財（財哥_TMC北極熊）,5 顆星,"這次去士林夜市，真的覺得不愧是台北最有名的夜市之一！ 一走進去就被滿滿的美食攤位包圍，香味四溢，每一攤都超級誘人，讓人完全不知道該從哪裡開始吃起。

第一站直接衝 豪大大雞排，炸得超酥脆，咬下去還有肉汁，真的超爽。接著又去買了 …",1 個月前
Wilson Ko,4 顆星,"好久沒來了~😩😅
這真的是台北人小時候的回憶
在我兒時印象就是士林、樂華還有公館 …",1 個月前
呂承翰,4 顆星,"店內裝潢充滿日式氛圍，環境舒適
麵部分中歸中矩，白湯的碗邊有一點柚子胡椒（？，慢慢拌入麵湯裡面感受湯頭風味的變化相當有趣
炸牡蠣部分就比較普通，吃到的海腥味比較重",1 個月前
Barbie Huang,3 顆星,"▪️台北旅遊▪️台北好玩

114/03/05（周三） …",1 個月前
阿達仔,2 顆星,"新改裝的地下室
雖然明亮
但座位靠很近 …",1 週前
Naka Totoro,4 顆星,"2025/4到訪
士林夜市曾經是最有人氣、人潮最多的夜市。目前夜市以士林的信仰中心慈誠宮為中心
以前室內夜市的小吃街地下室，近期空調改善，重新整理出發。人潮能不能回流有待觀察。",1 週前
李俊傑,4 顆星,自從陽明戲院拆除之後，印象中這次是第三次來，原先解鎖外觀像「貢丸、米血、百頁」的台北藝術表演中心，本來當初還以為這裡是餐廳或是百貨，進來之後才知道，這裡是藝術表演中心，但對於這樣的外體設計，很難理解跟藝術的關聯性。 …,3 個月前
逸,5 顆星,"士林夜市作為台灣最知名的夜市之一，外國遊客非常多，尤其是日韓遊客占多數，士林市場內的一樓為遊戲攤商，B1美食街整修中不開放

小吃攤販多集中在外面街道，很長一條攤商種類多樣很好逛，也有很多賣衣服、帽子、包包及飾品的商店，價格大多很實惠 …",1 個月前
