author,rating,text
沙拉飯團,3 顆星,"週六晚上下去，煙霧迷漫，希望油煙可以改善
攤商的衛生也要多注意，開放式廚房大家都看的到，食材不落地、生熟食餐夾請分開
洗手台沒有洗手乳和衛生紙，手洗不乾淨外，還甩的到處都是
清潔人員不足，可以自己拿去回收，但桌子被弄髒沒人擦
最後只好外帶
除了冷氣很強外，其他感受並沒有很好"
冫,3 顆星,"目前整修中無開放
電梯到b1是黑的店家也都有用布蓋著
1樓樓梯有拉封鎖線 提醒各位不要來❌"
楊渭川,3 顆星,許多必吃美食...但都需排隊，所以要有耐心，祝：大家愉悅順心.
LOAKI Travel Food Park,5 顆星,✨完整介紹請看IG:loaki0414 或搜尋🔍「語雨家」✨
Fu Hsu,4 顆星,很久沒來士林夜市，想一次吃到很多種菜色，選擇到這邊來，好吃，但人真的多，座位稍微擠了點
Ethan Wu,1 顆星,到底要整修多久，是整修又不是新蓋，原本預計八個月的工程，到今天為止一倍的時間過去都還沒好。
yi zhang,4 顆星,選擇非常多，和一般夜市比起，消費金額偏高，但每家攤商的菜色選擇都滿多，不用移動太遠，就有不同的熱炒、麵食、甜品店可選擇
王小寶,4 顆星,2022年台北花燈在士林，人潮擁擠，疫情之後已經很久沒看到如此的人潮，過年都要要等元宵佳節過後，才算結束。士林夜市地下美食街，每一間都滿滿的人，有位置就趕快坐下，點了生炒花枝、蚵仔煎、綜合果汁都不錯吃～
林旭明《飛哥領隊》,4 顆星,"著名的台北夜市，人潮雖因疫情嚴重少了陸客團，但夜市商圈還是深受國人喜愛逛夜市排名的前幾名。

搭乘淡水線到劍潭站下車，走幾分鐘就可抵達的逛街購物用餐的夜市。"
Ringo Lin,5 顆星,"早年，住在北部的時候，經常來逛士林夜市，沿著入口處開始，地攤一攤又一攤，最愛逛這些了。
也看過他們躲警察，只要聽到有人喊叫提醒，他們馬上就把舖在地上的墊子一收，不用3秒鐘就收攤。警察來了根本就拿他們沒法度。
除了服飾，小吃，3C用品，美食區裡面的生炒花枝，幾乎是來士林夜市必點的。還有大餅包小餅也是幾乎被人群包圍。
搬到宜蘭定居已經很多年了，今天特地北上來士林夜市逛街。
或許是新冠肺炎疫情的影響，沒了外國遊客，但是本地遊客卻也不多。
夜市動線依稀還記得，很快的就走到美食區，點了生炒花枝羹，真是滿足極了。還有大餅包小餅，也是一定要的。
後疫情時刻，大家不妨戴上口罩，多多外出消費，創造經濟。"
MONA CHEN,4 顆星,多樣選擇，有些比較鹹，但整體味道算好吃，特別是大餅包小餅，個人愛吃咖哩口味。其他的在地小吃也很不錯～
彭財金,4 顆星,"好的味道仍在 價格一樣親民
可惜人潮不見 熱鬧氣氛不在
或許是週日下午時刻還未登場吧！"
Maurie Lai,3 顆星,唯一的好處是冷氣冷，蚵仔煎現做，其他沒了。價格太貴了，根本脫離市場價格，蠻好奇如此型態要怎麼進步呢？
林雙琪,4 顆星,士林美食街因疫情已兩年半沒去逛，沒想到今天假日真是人山人海，我們點了蝦仁炒飯、生炒花枝、炸臭豆腐、蒸小籠包味道做得很到位，吃完還買了大餅包小餅、烤玉米、炸地瓜球、炸雙胞胎、麻花帶回家吃，適合陪家人&朋友們一起分享~
Yang Ou,1 顆星,"65攤打彈珠，兩個遊戲100元的，裡面小姐態度差到我想要直接罵人
光是第一次介紹遊戲，都要沒耐心，所有的話都連著講三次用吼的！會嚇到小朋友那種，還講到另一個人員攔著拍他
根本沒有什麼問題，就要被這樣對待，連一顆星都不想給，生意好覺得累不要做就好，不要硬要做又對客人不耐煩發脾氣，有夠誇張（非常生氣）"
雅咧雅咧,4 顆星,初一中午跑來這邊覓食，因為很懷念生炒花枝（認真說台北只有士林夜市生炒花枝的花枝是厚的），但中午店家只開3.4家並不多，所以來這家吃，種類非常多，可是看其他沒開的店家菜單真的也是大同小異，但市政府也真的需要好好想辦法怎麼維持下去。以前生炒花枝參魷魚覺得有點不好，今天來吃整碗都是花枝沒參魷魚比較好
Claire Hsu,4 顆星,市場裡有很多小吃，有空調，目前因疫情關係營業店家較少，外帶居多。
風之玉,4 顆星,有平價美食小吃，也有高單價的菜色，選擇種類多，可依自己的預算安排吃食
S X,1 顆星,放在冷凍，冷凍到沒水份的大蝦，你們也敢給客人吃，鹹酥雞也一樣，做吃的要憑良心好嗎？你們不知道小孩子也會去吃嗎？
Jeff Wong,1 顆星,油烟多，管理太鬆散，東西也難吃。有人說東西重複性太多，真的是有夠太真實。逃生通道也被堵住。一旦發生火災後果不堪設想。
