author,rating,text
莉莉（愛吃美食的人）,4 顆星,"小巷弄內的小攤. 因為看到很多外籍學生在吃. 非常好奇餐點如何就來試試.
本來要點打拋雞飯. 但是正好賣完了. 改點打拋豬肉飯，泰式炒粄條. 因為不太吃辣. 所以點了微辣.  現點現煮. 所以要有耐心等候. 還好我不是正餐時間來買. 因為客人不多，老闆娘還很貼心的說先坐一下.
餐點整體來說還算不錯. 打拋豬肉飯會配上一顆煎蛋. 很下飯. 味道也不會太鹹.
炒粄條也炒的剛好. 如果有吃辣的朋友. 可以點辣，應該會更好吃. 主要價錢很親民. 以女生來說算剛剛好的量."
Sutton Chen,3 顆星,點了泰式炒粄條，口味篇台式價格75很便宜！之前吃過這家的蔥抓餅非常好吃😋 …
ken chan,5 顆星,老闆娘人很好服務周到，價格親民，值得再來光顧
W ang,1 顆星,"超級不衛生，飯裡有黑色像菜蟲或是蟑螂卵，煮飯的桌子旁邊也有小蟑螂🪳🤮
我就是7/18下午外帶的客人！買回家打開吃兩口發現，當下覺得太惡心就直接丟掉，忘記拍照，浪費我85塊，之前也有來光顧過，這次去在做的時候就看到桌上有小蟑螂在爬，真的是很噁心，想說希望我的食物是乾淨的，沒想到回家打開吃還遇到這種事，都回家了不想再跑去一趟只能自認倒霉！
去調監視器都可以足以確認我是客人，還留言恐嚇提醒走法律途徑？ 好可怕喔～ …"
Yu,5 顆星,"最喜歡阿姨的炒板條 真的可以每天吃
還有九層塔蔥抓餅 真的很好吃 加胡椒就好
相當美味😋"
H Y,5 顆星,炒粄條超好吃，份量夠，吃超飽超滿足！
Jimy,5 顆星,"道地的泰式小吃
推打拋豬，炒粿條👍👍"
吳婷喻,5 顆星,打拋豬、炒粄條好吃👍
Wang,5 顆星,打拋豬好吃
菲比,5 顆星,服務親切
QQQ Louis,5 顆星,平價好吃
Bo-Lun Chang,1 顆星,爛態度
Eve Pannasorn,5 顆星,"這家店位於胡同的盡頭。
阿姨非常友善，樂於助人。作為一個泰國人，我會推薦這個地方！尤其是‘Pad see eiw’簡直就是炸彈！"
yaukwankiu yaukwankiu,5 顆星,米飯配上辣肉末，簡直好吃。
捲捲,5 顆星,
李品萱,5 顆星,
曾蝦龜,5 顆星,
Shawn H,5 顆星,
Nguyễn Xuân Huy,5 顆星,
王俊翔,5 顆星,
