name,url
士林夜市銅鑼燒,https://www.google.com.tw/maps/place/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82%E9%8A%85%E9%91%BC%E7%87%92/data=!4m7!3m6!1s0x3442aeb01a7bf159:0x9db184c3b298eea6!8m2!3d25.0880648!4d121.5249608!16s%2Fg%2F11c0rpkq9k!19sChIJWfF7GrCuQjQRpu6YssOEsZ0?authuser=0&hl=zh-TW&rclk=1
等等燒 士林店/士林美食/士林甜點/士林下午茶/士林鬆餅/士林茶飲/夜市美食/精緻茶飲,https://www.google.com.tw/maps/place/%E7%AD%89%E7%AD%89%E7%87%92+%E5%A3%AB%E6%9E%97%E5%BA%97%2F%E5%A3%AB%E6%9E%97%E7%BE%8E%E9%A3%9F%2F%E5%A3%AB%E6%9E%97%E7%94%9C%E9%BB%9E%2F%E5%A3%AB%E6%9E%97%E4%B8%8B%E5%8D%88%E8%8C%B6%2F%E5%A3%AB%E6%9E%97%E9%AC%86%E9%A4%85%2F%E5%A3%AB%E6%9E%97%E8%8C%B6%E9%A3%B2%2F%E5%A4%9C%E5%B8%82%E7%BE%8E%E9%A3%9F%2F%E7%B2%BE%E7%B7%BB%E8%8C%B6%E9%A3%B2/data=!4m7!3m6!1s0x3442aebabb23c687:0x2e24c922019c8e4c!8m2!3d25.0892581!4d121.5246107!16s%2Fg%2F11c1xm55cl!19sChIJh8Yju7quQjQRTI6cASLJJC4?authuser=0&hl=zh-TW&rclk=1
口口家豆花甜湯chez Lu Taiwanese dessert 士林捷運站一號出口左手邊，外送，團體企業活動請內洽,https://www.google.com.tw/maps/place/%E5%8F%A3%E5%8F%A3%E5%AE%B6%E8%B1%86%E8%8A%B1%E7%94%9C%E6%B9%AFchez+Lu+Taiwanese+dessert+%E5%A3%AB%E6%9E%97%E6%8D%B7%E9%81%8B%E7%AB%99%E4%B8%80%E8%99%9F%E5%87%BA%E5%8F%A3%E5%B7%A6%E6%89%8B%E9%82%8A%EF%BC%8C%E5%A4%96%E9%80%81%EF%BC%8C%E5%9C%98%E9%AB%94%E4%BC%81%E6%A5%AD%E6%B4%BB%E5%8B%95%E8%AB%8B%E5%85%A7%E6%B4%BD/data=!4m7!3m6!1s0x3442af5610a98ec7:0x22ba1ea7fd29f3dd!8m2!3d25.0946012!4d121.5256263!16s%2Fg%2F11sqxc_kq8!19sChIJx46pEFavQjQR3fMp_aceuiI?authuser=0&hl=zh-TW&rclk=1
小月點心屋=脆皮鮮奶甜甜圈+冰火菠蘿油+港式茶飲,https://www.google.com.tw/maps/place/%E5%B0%8F%E6%9C%88%E9%BB%9E%E5%BF%83%E5%B1%8B%3D%E8%84%86%E7%9A%AE%E9%AE%AE%E5%A5%B6%E7%94%9C%E7%94%9C%E5%9C%88%2B%E5%86%B0%E7%81%AB%E8%8F%A0%E8%98%BF%E6%B2%B9%2B%E6%B8%AF%E5%BC%8F%E8%8C%B6%E9%A3%B2/data=!4m7!3m6!1s0x3442a96f28723857:0x4c02cd49756fb7a3!8m2!3d25.0877549!4d121.5256605!16s%2Fg%2F11lyr0zfjx!19sChIJVzhyKG-pQjQRo7dvdUnNAkw?authuser=0&hl=zh-TW&rclk=1
話拳寒天Q棒（無固定休假日）,https://www.google.com.tw/maps/place/%E8%A9%B1%E6%8B%B3%E5%AF%92%E5%A4%A9Q%E6%A3%92%EF%BC%88%E7%84%A1%E5%9B%BA%E5%AE%9A%E4%BC%91%E5%81%87%E6%97%A5%EF%BC%89/data=!4m7!3m6!1s0x3442aeba8fedc1cf:0xf319565156c029b0!8m2!3d25.0897986!4d121.5234825!16s%2Fg%2F12m90cn__!19sChIJz8Htj7quQjQRsCnAVlFWGfM?authuser=0&hl=zh-TW&rclk=1
士林夜市好好吃 狀元糕,https://www.google.com.tw/maps/place/%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82%E5%A5%BD%E5%A5%BD%E5%90%83+%E7%8B%80%E5%85%83%E7%B3%95/data=!4m7!3m6!1s0x3442afe052f87cb9:0xd4a3b0a7e08f82b4!8m2!3d25.0896317!4d121.5240177!16s%2Fg%2F11gxxt0bmw!19sChIJuXz4UuCvQjQRtIKP4Kewo9Q?authuser=0&hl=zh-TW&rclk=1
今晚吃糖-吃吃糖士林店,https://www.google.com.tw/maps/place/%E4%BB%8A%E6%99%9A%E5%90%83%E7%B3%96-%E5%90%83%E5%90%83%E7%B3%96%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af007292981b:0x3eff9f16e8d9af8e!8m2!3d25.0889274!4d121.5251934!16s%2Fg%2F11vx99qrjp!19sChIJG5iScgCvQjQRjq_Z6Baf_z4?authuser=0&hl=zh-TW&rclk=1
辛發亭冰品名店,https://www.google.com.tw/maps/place/%E8%BE%9B%E7%99%BC%E4%BA%AD%E5%86%B0%E5%93%81%E5%90%8D%E5%BA%97/data=!4m7!3m6!1s0x3442aeafffa18b61:0x8957980d57341b75!8m2!3d25.0883944!4d121.5257861!16s%2Fg%2F1tdr0_nq!19sChIJYYuh_6-uQjQRdRs0Vw2YV4k?authuser=0&hl=zh-TW&rclk=1
藍儂說,https://www.google.com.tw/maps/place/%E8%97%8D%E5%84%82%E8%AA%AA/data=!4m7!3m6!1s0x3442aeaff3dc6c55:0x54cbf40c62886223!8m2!3d25.0878427!4d121.5266625!16s%2Fg%2F11cm_h_qm0!19sChIJVWzc86-uQjQRI2KIYgz0y1Q?authuser=0&hl=zh-TW&rclk=1
士林伯豆花,https://www.google.com.tw/maps/place/%E5%A3%AB%E6%9E%97%E4%BC%AF%E8%B1%86%E8%8A%B1/data=!4m7!3m6!1s0x3442aebabd2478f1:0xdec78a6ae2e3a26b!8m2!3d25.0896025!4d121.5242431!16s%2Fg%2F1tpc5p4f!19sChIJ8XgkvbquQjQRa6Lj4mqKx94?authuser=0&hl=zh-TW&rclk=1
