name,url
魚池貳壹-台北士林總店Tea21,https://www.google.com.tw/maps/place/%E9%AD%9A%E6%B1%A0%E8%B2%B3%E5%A3%B9-%E5%8F%B0%E5%8C%97%E5%A3%AB%E6%9E%97%E7%B8%BD%E5%BA%97Tea21/data=!4m7!3m6!1s0x3442af46ebb78577:0xf294861aef61f331!8m2!3d25.086641!4d121.5256547!16s%2Fg%2F11gmvbzrcq!19sChIJd4W360avQjQRMfNh7xqGlPI?authuser=0&hl=zh-TW&rclk=1
泰愛了 手工泰式奶茶 士林店,https://www.google.com.tw/maps/place/%E6%B3%B0%E6%84%9B%E4%BA%86+%E6%89%8B%E5%B7%A5%E6%B3%B0%E5%BC%8F%E5%A5%B6%E8%8C%B6+%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442af531269771d:0xc9b427075ba907a7!8m2!3d25.0894221!4d121.5243592!16s%2Fg%2F11smytbhtw!19sChIJHXdpElOvQjQRpwepWwcntMk?authuser=0&hl=zh-TW&rclk=1
好吸（士林夜市-大南店）,https://www.google.com.tw/maps/place/%E5%A5%BD%E5%90%B8%EF%BC%88%E5%A3%AB%E6%9E%97%E5%A4%9C%E5%B8%82-%E5%A4%A7%E5%8D%97%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442afb84bfea45f:0xace64e57f0e8c411!8m2!3d25.0894879!4d121.524189!16s%2Fg%2F11tfcqwd39!19sChIJX6T-S7ivQjQREcTo8FdO5qw?authuser=0&hl=zh-TW&rclk=1
頃刻間— 綠豆沙牛奶/茶飲,https://www.google.com.tw/maps/place/%E9%A0%83%E5%88%BB%E9%96%93%E2%80%94+%E7%B6%A0%E8%B1%86%E6%B2%99%E7%89%9B%E5%A5%B6%2F%E8%8C%B6%E9%A3%B2/data=!4m7!3m6!1s0x3442afb087dcb077:0xf07c92d329ab3174!8m2!3d25.0901914!4d121.526885!16s%2Fg%2F11tdqv_3kx!19sChIJd7Dch7CvQjQRdDGrKdOSfPA?authuser=0&hl=zh-TW&rclk=1
七盞茶 士林旗艦店,https://www.google.com.tw/maps/place/%E4%B8%83%E7%9B%9E%E8%8C%B6+%E5%A3%AB%E6%9E%97%E6%97%97%E8%89%A6%E5%BA%97/data=!4m7!3m6!1s0x3442af744a6a7945:0x6e02b70a6bfa9b50!8m2!3d25.0879422!4d121.5260466!16s%2Fg%2F11vm1lvvv4!19sChIJRXlqSnSvQjQRUJv6awq3Am4?authuser=0&hl=zh-TW&rclk=1
迷客夏 臺北士林店,https://www.google.com.tw/maps/place/%E8%BF%B7%E5%AE%A2%E5%A4%8F+%E8%87%BA%E5%8C%97%E5%A3%AB%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442aea4c9504c53:0x17b0839453f0f79c!8m2!3d25.0921275!4d121.5259753!16s%2Fg%2F11fxbcj03q!19sChIJU0xQyaSuQjQRnPfwU5SDsBc?authuser=0&hl=zh-TW&rclk=1
巫記青蛙下蛋（正宗創始店）,https://www.google.com.tw/maps/place/%E5%B7%AB%E8%A8%98%E9%9D%92%E8%9B%99%E4%B8%8B%E8%9B%8B%EF%BC%88%E6%AD%A3%E5%AE%97%E5%89%B5%E5%A7%8B%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x3442aeaff733b429:0x2482622a39dcffb6!8m2!3d25.0881566!4d121.5265033!16s%2Fg%2F1wh4ckng!19sChIJKbQz96-uQjQRtv_cOSpigiQ?authuser=0&hl=zh-TW&rclk=1
50嵐 士林文林店,https://www.google.com.tw/maps/place/50%E5%B5%90+%E5%A3%AB%E6%9E%97%E6%96%87%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442aea53fb76915:0xfca2cf1fc04c2b52!8m2!3d25.0896857!4d121.5268826!16s%2Fg%2F113dz5hp6!19sChIJFWm3P6WuQjQRUitMwB_Povw?authuser=0&hl=zh-TW&rclk=1
大苑子士林文林店,https://www.google.com.tw/maps/place/%E5%A4%A7%E8%8B%91%E5%AD%90%E5%A3%AB%E6%9E%97%E6%96%87%E6%9E%97%E5%BA%97/data=!4m7!3m6!1s0x3442aeafd80f18d3:0x9935e0e306b10993!8m2!3d25.0864719!4d121.5256149!16s%2Fg%2F11c1qs001v!19sChIJ0xgP2K-uQjQRkwmxBuPgNZk?authuser=0&hl=zh-TW&rclk=1
王記青蛙下蛋,https://www.google.com.tw/maps/place/%E7%8E%8B%E8%A8%98%E9%9D%92%E8%9B%99%E4%B8%8B%E8%9B%8B/data=!4m7!3m6!1s0x3442aeaff733b429:0x6f19878b374f4f3!8m2!3d25.0880312!4d121.5261755!16s%2Fg%2F12vt0r6qt!19sChIJKbQz96-uQjQR8_R0s3iY8QY?authuser=0&hl=zh-TW&rclk=1
瀚茶坊（兩儀茶）,https://www.google.com.tw/maps/place/%E7%80%9A%E8%8C%B6%E5%9D%8A%EF%BC%88%E5%85%A9%E5%84%80%E8%8C%B6%EF%BC%89/data=!4m7!3m6!1s0x3442aff9b39ec607:0x9dc33e26ea95ea39!8m2!3d25.0898757!4d121.5229205!16s%2Fg%2F11s1bcwv1c!19sChIJB8aes_mvQjQROeqV6iY-w50?authuser=0&hl=zh-TW&rclk=1
