餐廳名稱,地址,餐廳連結,latitude,longitude,distance
樂華夜市三鮮羹,234新北市永和區永平路146號樂華夜市內 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%E4%B8%89%E9%AE%AE%E7%BE%B9/data=!4m7!3m6!1s0x3442a9c31fe8c753:0x90793ca166229089!8m2!3d25.0084162!4d121.5113918!16s%2Fg%2F11g_y5tdf!19sChIJU8foH8OpQjQRiZAiZqE8eZA?authuser=0&hl=zh-TW&rclk=1,25.0084162,121.5088169,0.1468528836379939
鐘點棧 當歸鴨【台北樂華夜市總店】銅板美食|小吃店外送推薦,234新北市永和區保平路18巷8號 ,https://www.google.com/maps/place/%E9%90%98%E9%BB%9E%E6%A3%A7+%E7%95%B6%E6%AD%B8%E9%B4%A8%E3%80%90%E5%8F%B0%E5%8C%97%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%E7%B8%BD%E5%BA%97%E3%80%91%E9%8A%85%E6%9D%BF%E7%BE%8E%E9%A3%9F%7C%E5%B0%8F%E5%90%83%E5%BA%97%E5%A4%96%E9%80%81%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9c2c36ee56f:0xce26595eb0ec3471!8m2!3d25.0079471!4d121.5124101!16s%2Fg%2F11c0xhbfqk!19sChIJb-Vuw8KpQjQRcTTssF5ZJs4?authuser=0&hl=zh-TW&rclk=1,25.0079471,121.5098352,0.080486831312463
郭記麻辣臭豆腐,234新北市永和區永平路180巷 ,https://www.google.com/maps/place/%E9%83%AD%E8%A8%98%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90/data=!4m7!3m6!1s0x3442a9c31b836ff7:0xac3c5e0246e2d388!8m2!3d25.0091445!4d121.5105224!16s%2Fg%2F1hc48yxpq!19sChIJ92-DG8OpQjQRiNPiRgJePKw?authuser=0&hl=zh-TW&rclk=1,25.0091445,121.5079475,0.2425390757840682
成銘月亮蝦餅,234新北市永和區保平路18巷2號 ,https://www.google.com/maps/place/%E6%88%90%E9%8A%98%E6%9C%88%E4%BA%AE%E8%9D%A6%E9%A4%85/data=!4m7!3m6!1s0x3442a93572fd8ea5:0x8b1224ef7f988bc!8m2!3d25.0083411!4d121.5114751!16s%2Fg%2F11qh85skd3!19sChIJpY79cjWpQjQRvIj5904isQg?authuser=0&hl=zh-TW&rclk=1,25.0083411,121.5089002,0.1396998910776497
顏記深海旗魚串,23445新北市永和區永和路一段129號 ,https://www.google.com/maps/place/%E9%A1%8F%E8%A8%98%E6%B7%B1%E6%B5%B7%E6%97%97%E9%AD%9A%E4%B8%B2/data=!4m7!3m6!1s0x3442a9e855555555:0xf75a81ae4d0307e1!8m2!3d25.0086574!4d121.5140113!16s%2Fg%2F11gz794b9!19sChIJVVVVVeipQjQR4QcDTa6BWvc?authuser=0&hl=zh-TW&rclk=1,25.0086574,121.5114364,0.1189249031984105
火烤魚-樂華店,234新北市永和區永平路192號 ,https://www.google.com/maps/place/%E7%81%AB%E7%83%A4%E9%AD%9A-%E6%A8%82%E8%8F%AF%E5%BA%97/data=!4m7!3m6!1s0x3442a9469bae50c9:0xe0d9eb8e90a387d5!8m2!3d25.0094739!4d121.510309!16s%2Fg%2F11mv0wn0_6!19sChIJyVCum0apQjQR1YejkI7r2eA?authuser=0&hl=zh-TW&rclk=1,25.0094739,121.5077341,0.274616327506975
樂華涼拌手撕雞,234新北市永和區永平路4號 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E6%B6%BC%E6%8B%8C%E6%89%8B%E6%92%95%E9%9B%9E/data=!4m7!3m6!1s0x3442a9c281568e03:0x2fd182956eceff7e!8m2!3d25.0086629!4d121.5138896!16s%2Fg%2F11by_xyz4x!19sChIJA45WgcKpQjQRfv_ObpWC0S8?authuser=0&hl=zh-TW&rclk=1,25.0086629,121.5113147,0.1067595836224711
李來脆皮玉米-樂華夜市店,234新北市永和區永平路46號 ,https://www.google.com/maps/place/%E6%9D%8E%E4%BE%86%E8%84%86%E7%9A%AE%E7%8E%89%E7%B1%B3-%E6%A8%82%E8%8F%AF%E5%A4%9C%E5%B8%82%E5%BA%97/data=!4m7!3m6!1s0x3442a90069b75a87:0x59c8f705209e6cbc!8m2!3d25.008576!4d121.5127818!16s%2Fg%2F11w57sskl4!19sChIJh1q3aQCpQjQRvGyeIAX3yFk?authuser=0&hl=zh-TW&rclk=1,25.008576,121.5102069,0.0059368505552728
大腸包小腸,234新北市永和區永平路81巷3號樂華夜市 萬客福對面 ,https://www.google.com/maps/place/%E5%A4%A7%E8%85%B8%E5%8C%85%E5%B0%8F%E8%85%B8/data=!4m7!3m6!1s0x3442a96a9921e785:0x7dce91b037bc2b08!8m2!3d25.0082858!4d121.5116362!16s%2Fg%2F11pynkrpdq!19sChIJhechmWqpQjQRCCu8N7CRzn0?authuser=0&hl=zh-TW&rclk=1,25.0106912,121.5077663,0.3453164703722703
樂華許家蚵仔煎,234新北市永和區永平路11號 ,https://www.google.com/maps/place/%E6%A8%82%E8%8F%AF%E8%A8%B1%E5%AE%B6%E8%9A%B5%E4%BB%94%E7%85%8E/data=!4m7!3m6!1s0x3442a9c2844c646b:0x6dcc6b1363b5b3f2!8m2!3d25.0086631!4d121.5137272!16s%2Fg%2F1tzggbmp!19sChIJa2RMhMKpQjQR8rO1YxNrzG0?authuser=0&hl=zh-TW&rclk=1,25.0086631,121.5111523,0.0904794249647412
