nm_name,st_name,nm_city,st_address,st_url,st_score,st_price,st_total_com,st_tag
寧夏夜市,方家雞肉飯,台北市,大同區寧夏路060攤位號 ,https://www.google.com/maps/place/%E6%96%B9%E5%AE%B6%E9%9B%9E%E8%82%89%E9%A3%AF/data=!4m7!3m6!1s0x3442a96b20d64d03:0x75b1bf97ad69bc3a!8m2!3d25.056349!4d121.5152918!16s%2Fg%2F1tg76rm7!19sChIJA03WIGupQjQROrxprZe_sXU?authuser=0&hl=zh-TW&rclk=1,4.0,$1-200,1549,"['滷肉飯', '炒青菜', '蔥', '排骨', '雞油', '醬', '必比登', '矩陣', '堂食', '玉子燒']"
寧夏夜市,圓環邊蚵仔煎,台北市,大同區寧夏路46號 ,https://www.google.com/maps/place/%E5%9C%93%E7%92%B0%E9%82%8A%E8%9A%B5%E4%BB%94%E7%85%8E/data=!4m7!3m6!1s0x3442a96b20b81421:0x82d3c5ad2016f2b8!8m2!3d25.0564052!4d121.515281!16s%2Fg%2F11c3_65814!19sChIJIRS4IGupQjQRuPIWIK3F04I?authuser=0&hl=zh-TW&rclk=1,4.0,$1-200,3722,"['米糕', '米其林', '元慶蠔', '太白粉', '矩陣', '佇列', '輸送帶', '蘿蔔排骨湯', '蛤蜊湯', '1965年']"
寧夏夜市,李掌伯（原寧夏夜市里長伯麻辣臭豆腐鴨血蚵仔麵線）,台北市,大同區寧夏路22之9號 ,https://www.google.com/maps/place/%E6%9D%8E%E6%8E%8C%E4%BC%AF%EF%BC%88%E5%8E%9F%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E9%87%8C%E9%95%B7%E4%BC%AF%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90%E9%B4%A8%E8%A1%80%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%EF%BC%89/data=!4m7!3m6!1s0x3442a96b39b0fb99:0x13f60e5205635aba!8m2!3d25.0554229!4d121.514996!16s%2Fg%2F1thx696p!19sChIJmfuwOWupQjQRulpjBVIO9hM?authuser=0&hl=zh-TW&rclk=1,3.7,$1-200,3057,"['麻辣鴨血', '抄手', '腸旺', '大腸麵線', '炸豆腐', '破布子', '王子麵', '金莎', '炸豆腐', '辣湯']"
寧夏夜市,豬肝榮仔,台北市,大同區寧夏路010攤位 ,https://www.google.com/maps/place/%E8%B1%AC%E8%82%9D%E6%A6%AE%E4%BB%94/data=!4m7!3m6!1s0x3442a96add70ff59:0x72e98fd458791b6b!8m2!3d25.056914!4d121.5155708!16s%2Fg%2F1xb2b7yk!19sChIJWf9w3WqpQjQRaxt5WNSP6XI?authuser=0&hl=zh-TW&rclk=1,4.2,$1-200,1076,"['豬肝湯', '肉粽', '芋頭糕', '肉羹', '必比登', '排隊', '冬菜', '肚湯', '內臟', '形狀']"
寧夏夜市,寧夏夜市-爆漿脆皮魷魚,台北市,大同區寧夏夜市第89攤 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82-%E7%88%86%E6%BC%BF%E8%84%86%E7%9A%AE%E9%AD%B7%E9%AD%9A/data=!4m7!3m6!1s0x3442a9c2cf6e4aab:0x5e53146c9bbeb952!8m2!3d25.0560564!4d121.5154202!16s%2Fg%2F11sfg7g_1_!19sChIJq0puz8KpQjQRUrm-m2wUU14?authuser=0&hl=zh-TW&rclk=1,4.1,$1-200,606,"['小黃瓜', '椒鹽', '炸魷魚', '排隊', '豆薯', '芥末', '粉', '水梨', '荸薺', '尤卡']"
寧夏夜市,菇之居,台北市,大同區第82攤寧夏夜市 ,https://www.google.com/maps/place/%E8%8F%87%E4%B9%8B%E5%B1%85/data=!4m7!3m6!1s0x3442a958b457c1ff:0x6c584ab78197deb4!8m2!3d25.0560564!4d121.5154024!16s%2Fg%2F11q3vkfy77!19sChIJ_8FXtFipQjQRtN6XgbdKWGw?authuser=0&hl=zh-TW&rclk=1,4.6,$1-200,51,"['炸', '金針菇', '秀珍菇', '週六', 'qq', '玉米筍', '香菇', '碗', '酥脆']"
寧夏夜市,豆花莊,台北市,大同區寧夏路49號 ,https://www.google.com/maps/place/%E8%B1%86%E8%8A%B1%E8%8E%8A/data=!4m7!3m6!1s0x3442a96ac201a925:0x60c17d7623069c74!8m2!3d25.057382!4d121.5155865!16s%2Fg%2F1v6qf9rt!19sChIJJakBwmqpQjQRdJwGI3Z9wWA?authuser=0&hl=zh-TW&rclk=1,4.1,$,5569,"['糖水', '芋圓', '寧夏夜市', '甘蔗', '粉圓', '粉粿', '白玉', '芝麻湯圓', '芋頭', '葛切']"
寧夏夜市,環記麻油雞,台北市,大同區寧夏路44號 ,https://www.google.com/maps/place/%E7%92%B0%E8%A8%98%E9%BA%BB%E6%B2%B9%E9%9B%9E/data=!4m7!3m6!1s0x3442a96b2129eb95:0x11a1b09e391357!8m2!3d25.056338!4d121.51526!16s%2Fg%2F1th26285!19sChIJlespIWupQjQRVxM5nrChEQA?authuser=0&hl=zh-TW&rclk=1,3.5,$200-400,1361,"['麵線', '腰子', '豬肝', '赤肉', '荷包蛋', '下水', '米酒', '人蔘雞湯', '芝麻雞', '枸杞']"
寧夏夜市,冰霖古早味豆花,台北市,大同區民生西路210號 ,https://www.google.com/maps/place/%E5%86%B0%E9%9C%96%E5%8F%A4%E6%97%A9%E5%91%B3%E8%B1%86%E8%8A%B1/data=!4m7!3m6!1s0x3442a96adbcf6ac1:0x12fc2f4a520ac7ee!8m2!3d25.0569429!4d121.5151079!16s%2Fg%2F1tczh550!19sChIJwWrP22qpQjQR7scKUkov_BI?authuser=0&hl=zh-TW&rclk=1,4.1,$,3288,"['芋圓', '寧夏夜市', '雪花冰', '糖水', '粉圓', '燒仙草', '湯圓', '孤獨的美食家', '銀耳', '黑糖']"
寧夏夜市,寧夏夜市千歲宴,台北市,大同區寧夏路58號2樓 ,https://www.google.com/maps/place/%E5%AF%A7%E5%A4%8F%E5%A4%9C%E5%B8%82%E5%8D%83%E6%AD%B2%E5%AE%B4/data=!4m7!3m6!1s0x3442a96adeefe8bd:0xc681b7e661a28ab8!8m2!3d25.056676!4d121.515363!16s%2Fg%2F11gzgyny5!19sChIJvejv3mqpQjQRuIqiYea3gcY?authuser=0&hl=zh-TW&rclk=1,4.4,$400-800,305,"['小吃', '冷氣', '美食', '道', '集合', '主持人', '辦桌', '蚵仔煎', '雞排', '地瓜']"
