store_name,rating_star,author,is_local_guide,review_cnt,photo_cnt,time_num,time_unit,content_clean
好好味冰火菠蘿油 瑞豐店,5,JOODY AHN,True,15,23,2, 天,我在逃離夜市時發現了這個地方，因為它是如此擁擠和令人窒息。我吃了鳳梨麵包+錨黃油。趁熱吃非常美味。沒有單獨的塑膠袋。
好好味冰火菠蘿油 瑞豐店,1,陳芃亘,False,5,0,2, 天,"上班認真一點 我不是來買純菠蘿麵包
裡面什麼都沒有 連切口都沒有
這次才買三顆 兩顆原味 一顆招牌
裡面兩顆原味連一點鹹都沒有 連切口都沒有"
好好味冰火菠蘿油 瑞豐店,5,Clém,True,863,1715,6, 天,當我收到它並吃掉它時，麵包已經熱了，黃油也開始融化，所以時機非常好。甜度適中、已經鬆軟的麵包裡加入奶油，怎麼可能不美味呢？抱持著很高期望的人可能會有些失望，但我不認為這有什麼不愉快的事。我認為這對喜歡甜點麵包的人來說是最好的零食。
好好味冰火菠蘿油 瑞豐店,5,GOOD유라,True,38,83,1, 週,"2 約翰‧馬特奧克
應該買ㅜ"
好好味冰火菠蘿油 瑞豐店,5,Ta,True,296,2365,1, 週,"菠蘿油很好吃～～～
外酥內軟不會太甜！
照片上的男服務員態度超級不好不知道是怎樣…."
好好味冰火菠蘿油 瑞豐店,1,阿賓,False,16,1,2, 週,服務態度很差，要點餐結果跑去烤麵包，點東西剛跟他說要點什麼，馬上又忘記又在問總共問了三次
好好味冰火菠蘿油 瑞豐店,4,s_y Chen,True,191,30,3, 週,"總統跟LV
個人偏愛鹹香口味，所以推總統
LV的就是味道比較清淡
菠蘿的皮很酥 很好吃"
好好味冰火菠蘿油 瑞豐店,1,張大龍,True,28,1,1, 個月,外送餐點製作緩慢
好好味冰火菠蘿油 瑞豐店,3,楊鈺慈,True,444,2253,1, 個月,"吃過滿多次了
這次點總統冰火菠蘿油
感覺整體（口味、奶油、麵包）好像都變異了 ʕ •ᴥ•ʔ"
好好味冰火菠蘿油 瑞豐店,4,兩個漂亮女生（T2pg）,False,8,0,1, 個月,"久久吃一次還是很好吃
只是奶油是不是也變小片了"
好好味冰火菠蘿油 瑞豐店,4,Penny Chen,True,195,489,1, 個月,很多年沒吃了，點了招牌冰火波蘿包，起司很香帶微鹹，配上酥脆的波蘿包的微甜很配，最好買了馬上吃口味最好
好好味冰火菠蘿油 瑞豐店,4,dooldool Apdool,True,20,11,1, 個月,至少值得嘗試一次。
好好味冰火菠蘿油 瑞豐店,3,북북TV,True,165,369,1, 個月,是不是你的期望太高了…
好好味冰火菠蘿油 瑞豐店,5,愛吃糖,True,99,47,2, 個月,"最愛的菠蘿油
外酥內軟 口感超棒
吃了還想再吃🩷 …"
好好味冰火菠蘿油 瑞豐店,1,Audrey Chiu,False,8,10,2, 個月,買了KitKat 巧克力醬菠蘿包 醬擠了一小圈 連一圈半也不到 完全吃不出巧克力醬的味道…連冰火菠蘿包也沒之前好吃了
好好味冰火菠蘿油 瑞豐店,1,Chiayu,True,17,18,2, 個月,"常常購買，態度差我覺得都還好，
但至少東西看起來要美味，
生意好態度差，品質還不顧，
在好吃要我再次消費很難。"
好好味冰火菠蘿油 瑞豐店,5,A,False,7,0,2, 個月,我的朋友說這家餐廳是台灣最好的，我覺得很普通。不過喜歡甜點的小朋友說很好吃，看來是好吃的餐廳。
好好味冰火菠蘿油 瑞豐店,2,QQ Hsueh,True,56,24,2, 個月,變不好吃ㄌ哭哭🥲 …
好好味冰火菠蘿油 瑞豐店,4,Jim Chang,True,1123,5904,2, 個月,外酥裏嫩吃起來，冷熱夾攻真美味
好好味冰火菠蘿油 瑞豐店,5,李宙錨,True,7,137,2, 個月,
好好味冰火菠蘿油 瑞豐店,5,PICADO,True,829,445,2, 個月,好吃
好好味冰火菠蘿油 瑞豐店,5,陳致廷,True,127,535,3, 個月,"在瑞峰夜市斜對面，菠蘿油外皮酥酥甜甜的，搭上裡面微微融化的奶油，還不錯吃！
2024.01.24"
好好味冰火菠蘿油 瑞豐店,1,墨默,False,1,0,3, 個月,"不能買太多顆 會少給
買了8顆 只給7顆"
好好味冰火菠蘿油 瑞豐店,4,mini so,False,8,7,3, 個月,很好吃。但我覺得趁熱吃一定味道更好。令人失望的是它冷卻得太快以至於味道沒那麼好。不過吃完了，實在是太美味了，還想再吃一份！
好好味冰火菠蘿油 瑞豐店,5,댕댕,True,126,308,3, 個月,雖然我不喜歡奶油，但還是很好吃。出來的時候我沒有吃，但是過了大約30分鐘，回到酒店的時候我就吃了，黃油已經融化了，滲入了麵包裡，但還是很好吃。至少值得吃一次！ …
好好味冰火菠蘿油 瑞豐店,4,HS H,False,8,11,3, 個月,"值得懷疑的是，Butter Soboro在韓國不賣。
它不像韓國的soboro那樣上面放著餅乾麵團，而是更像哈密瓜麵包。相反，它又脆又美味。
裡面有奶油。一個不能無味的組合。
我建議吃它。"
好好味冰火菠蘿油 瑞豐店,5,홍민희,True,1,0,3, 個月,
好好味冰火菠蘿油 瑞豐店,5,Patrick Wang,True,756,6584,4, 個月,"源自於師大夜市的好好味在高雄的分店，就開在瑞豐夜市大門口正對面很方便。

招牌的菠蘿油外皮酥脆有如餅乾，奶香濃郁，內層還能夠選擇不同品牌的奶油，搭配在一起就是罪惡感十足的熱量炸彈，但就是好吃。"
好好味冰火菠蘿油 瑞豐店,1,Captain Boi,True,11,1,4, 個月,今天晚班8:30點左右 的那位女收銀店員 態度應該要加強
好好味冰火菠蘿油 瑞豐店,5,이연섭,True,95,308,4, 個月,"很好吃。
我最喜歡奶油組合。我家孩子比較喜歡吃原味的，所以大家可以依照自己的口味選擇。
有時線路很長，但有時沒有線路，請檢查線路情況，在線路較短時使用。 …"
好好味冰火菠蘿油 瑞豐店,4,You Hi,True,43,55,5, 個月,"口感有絕對的水準！ 內餡爽口！
是瑞豐周邊必吃的甜點！"
好好味冰火菠蘿油 瑞豐店,3,Hyeji Lim,True,19,62,5, 個月,我買它是因為它是一個無味的組合，但我很失望，因為麵包不是很熱，而且感覺與黃油有點不同。感覺甜鹹適中，但是比我想像的有點失望。
好好味冰火菠蘿油 瑞豐店,1,MinRu Hong,True,23,0,5, 個月,
