store_name,rating_star,author,is_local_guide,review_cnt,photo_cnt,time_num,time_unit,content_clean
翁記泡沫廣場,5,鄭景紘,True,86,61,17, 小時,他們家的餐點價格實惠、份量也足夠。非常推薦😄 …
翁記泡沫廣場,4,劉明盈,False,9,2,1, 天,"適合跟朋友聊天聚會的好地方
食物份量偏少，但烏龍豆乾好吃～
珍奶是古早味"
翁記泡沫廣場,3,emina chen,True,11,6,2, 天,"傳說中的泡沫紅茶老店
原來就在一中街附近欸
話說以前曾經經過而已 …"
翁記泡沫廣場,1,徐安迪,True,62,8,4, 天,"漲價漲這麼兇也就罷了
開發票還愛開不開  不問就不開
是想被查是不是"
翁記泡沫廣場,5,郭巧容,True,32,31,5, 天,這是我們老台中人懷念的老味道帶朋友去吃他讚不絕口因為他是豆乾王他說無與倫比的好吃給一百分
翁記泡沫廣場,1,林喬芯,True,61,15,6, 天,好爛 薛店 東西不好吃
翁記泡沫廣場,3,Wels Liu,True,33,14,1, 週,評價餐飲
翁記泡沫廣場,5,陳柏諺,True,368,4076,1, 週,"從小看到大
今天終於第一次來啦
真的超棒耶 …"
翁記泡沫廣場,5,高偉智,True,84,294,1, 週,對煙味敏感，門口座椅區抽煙的客人煙味直接飄進來全店，似乎沒有躲藏的地方。大門開著的，裡面外面似乎沒有隔開的意義了
翁記泡沫廣場,4,Clint Chen,True,167,225,2, 週,與朋友聚會好地方，小食很開胃，個人喜歡白蘭地紅茶與芬蘭果汁。
翁記泡沫廣場,1,陳維連,True,7,41,2, 週,外帶ㄧ塊黑豆干70元、被搶劫的感覺
翁記泡沫廣場,5,謝小寶,False,10,3,2, 週,
翁記泡沫廣場,3,蕭宗慶,True,5,0,2, 週,"在地老店,餐點多,味道好,燈光美,氣氛佳,若不要漏開發票逃漏稅的話會更好"
翁記泡沫廣場,1,周羿帆,False,3,0,2, 週,小孩想要睡覺，讓他趴下來，服務人員過來告知這裡不能睡覺，不太懂這個規定
翁記泡沫廣場,1,小藍,True,14,1,3, 週,物價上漲可理解 房租漲價可理解  但是這次真的差很多  炒飯份量比路邊攤還少 味道也沒好到哪裡 還不如買路邊攤回家吃  不會再來 反正在貴的店都有人會來 那我寧可選 春水堂吧。翁只剩豆干 厚片 能吃了！
翁記泡沫廣場,5,鄭喻文,False,6,0,3, 週,
翁記泡沫廣場,1,V約翰之神,True,14,1,3, 週,太貴
翁記泡沫廣場,4,Sarah Chiang,True,38,0,3, 週,
翁記泡沫廣場,5,Bryan Chen,True,174,1245,3, 週,懷念的好地方，豆乾超好吃
翁記泡沫廣場,2,Rou Chen,True,58,37,3, 週,"食物好吃
一樣的味道
現在到底有開發票還是沒開發票？ …"
翁記泡沫廣場,5,Liang LingLing,True,6,2,4, 週,
翁記泡沫廣場,4,Mr.Q,True,194,648,4, 週,記憶中的忘記豆乾最好吃
翁記泡沫廣場,2,LiJyun Chen,True,175,184,1, 個月,"好貴。
一點心70元、飲料也差不多價位，而且份量都不多。
兩個人吃兩杯茶四樣點心440。"
翁記泡沫廣場,4,Ivy Huang,True,373,1410,1, 個月,"這吃的應該是時代的眼淚吧！
可能我剛好嘴破所以吃豆乾被辣到了
但是芬蘭果汁很好喝～ …"
翁記泡沫廣場,5,伊宇嫣,False,3,1,1, 個月,
