names,adress,links
翁記泡沫廣場,404台中市北區精武路326號,"https://www.google.com.tw/maps/place/%E7%BF%81%E8%A8%98%E6%B3%A1%E6%B2%AB%E5%BB%A3%E5%A0%B4/@24.1462589,120.6830261,20z/data=!4m6!3m5!1s0x34693d6bfc1f21cf:0x8229058791e08cb9!8m2!3d24.146243!4d120.6833336!16s%2Fg%2F1x5f82zr?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
推擠 韓食,404台中市北區精武路320號,"https://www.google.com.tw/maps/place/%E6%8E%A8%E6%93%A0+%E9%9F%93%E9%A3%9F/@24.1462427,120.6831581,19z/data=!4m6!3m5!1s0x34693d4576505de5:0x569d719031238a1d!8m2!3d24.1462427!4d120.6834834!16s%2Fg%2F11kqwkvqzg?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
王子神谷日式厚鬆餅,404台中市北區一中街6號,"https://www.google.com.tw/maps/place/%E7%8E%8B%E5%AD%90%E7%A5%9E%E8%B0%B7%E6%97%A5%E5%BC%8F%E5%8E%9A%E9%AC%86%E9%A4%85/@24.1463859,120.683549,20z/data=!3m1!5s0x34693d6969d6231b:0x6b721510354c2046!4m6!3m5!1s0x34693d6856e5e0f3:0xce36f6f9501be330!8m2!3d24.1465813!4d120.6839603!16s%2Fg%2F11c4b38cr5?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
紅茶巴士 Black Tea Bus - 台中一中街站/飲料店/珍珠奶茶,404台中市北區一中街19號,"https://www.google.com.tw/maps/place/%E7%B4%85%E8%8C%B6%E5%B7%B4%E5%A3%AB+Black+Tea+Bus+-+%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E8%A1%97%E7%AB%99%2F%E9%A3%B2%E6%96%99%E5%BA%97%2F%E7%8F%8D%E7%8F%A0%E5%A5%B6%E8%8C%B6/@24.1470611,120.6839035,21z/data=!4m6!3m5!1s0x34693d520bd46325:0xaf2ae45cfd8042d6!8m2!3d24.1470611!4d120.6840403!16s%2Fg%2F11k9kc4pkp?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
小象餐廳,404台中市北區太平路19巷5弄38號,"https://www.google.com.tw/maps/place/%E5%B0%8F%E8%B1%A1%E9%A4%90%E5%BB%B3/@24.1470868,120.6841272,21z/data=!4m6!3m5!1s0x34693d694363448f:0x89413bc624180d69!8m2!3d24.1470966!4d120.6843565!16s%2Fg%2F11b6q1y2q8?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
隨主飡法式水煮專賣-台中一中店,404台中市北區太平路19巷5弄40號,"https://www.google.com.tw/maps/place/%E9%9A%A8%E4%B8%BB%E9%A3%A1%E6%B3%95%E5%BC%8F%E6%B0%B4%E7%85%AE%E5%B0%88%E8%B3%A3-%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E5%BA%97/@24.1470972,120.6840923,21z/data=!4m6!3m5!1s0x34693dc280fe4d2d:0x61a10d6addaabd88!8m2!3d24.1471243!4d120.684216!16s%2Fg%2F11f6z7qq1d?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
阿Q香港雞蛋仔 台中一中店,404台中市北區太平路19巷5弄40號,"https://www.google.com.tw/maps/place/%E9%98%BFQ%E9%A6%99%E6%B8%AF%E9%9B%9E%E8%9B%8B%E4%BB%94+%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E5%BA%97/@24.1470972,120.6840923,21z/data=!4m6!3m5!1s0x34693d6944a3323d:0x5e0c31804c7308e4!8m2!3d24.147135!4d120.6841883!16s%2Fg%2F11g8bb862q?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
手工臭豆腐,404台中市北區一中街21-2號,"https://www.google.com.tw/maps/place/%E6%89%8B%E5%B7%A5%E8%87%AD%E8%B1%86%E8%85%90/@24.1470972,120.6840923,21z/data=!3m1!5s0x34693d6945a86665:0xc12f8b80137005a0!4m6!3m5!1s0x34693dac8cde04f9:0x153d18a559d107e2!8m2!3d24.1472288!4d120.6841487!16s%2Fg%2F11jtyb1q1b?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
迷你一口臭豆腐,"No. 20號, 一中街北區台中市404","https://www.google.com.tw/maps/place/%E8%BF%B7%E4%BD%A0%E4%B8%80%E5%8F%A3%E8%87%AD%E8%B1%86%E8%85%90/@24.1470972,120.6840923,21z/data=!4m6!3m5!1s0x34693d69446d6857:0x11b86341d0d52bfe!8m2!3d24.1472394!4d120.6842374!16s%2Fg%2F11cs5lv2zz?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
胖子雞丁雞排,404台中市北區一中街20號,"https://www.google.com.tw/maps/place/%E8%83%96%E5%AD%90%E9%9B%9E%E4%B8%81%E9%9B%9E%E6%8E%92/@24.1470972,120.6840923,21z/data=!4m6!3m5!1s0x34693d6944f5acfb:0xeb51b70bf8711c3f!8m2!3d24.1472703!4d120.6843545!16s%2Fg%2F1tdynjhd?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
Won’t Drink 說好布喝 I 手做甜點 I 酒吧（預約制 Instagramn 私訊預約）,404台中市北區太平路19巷3弄32號2樓,"https://www.google.com.tw/maps/place/Won%E2%80%99t+Drink+%E8%AA%AA%E5%A5%BD%E5%B8%83%E5%96%9D+I+%E6%89%8B%E5%81%9A%E7%94%9C%E9%BB%9E+I+%E9%85%92%E5%90%A7%EF%BC%88%E9%A0%90%E7%B4%84%E5%88%B6+Instagramn+%E7%A7%81%E8%A8%8A%E9%A0%90%E7%B4%84%EF%BC%89/@24.1482009,120.6831756,17.25z/data=!4m6!3m5!1s0x34693d5f93fc92e7:0xd9f4eb3a687dfb96!8m2!3d24.1473781!4d120.6843461!16s%2Fg%2F11k3hg9pb1?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
阿瑞ma泰國55船面,404008台中市北區太平路75巷7號,"https://www.google.com.tw/maps/place/%E9%98%BF%E7%91%9Ema%E6%B3%B0%E5%9C%8B55%E8%88%B9%E9%9D%A2/@24.1475987,120.6837132,20.25z/data=!4m6!3m5!1s0x34693d2bce2708c1:0xaeba2873dff52eb9!8m2!3d24.1473664!4d120.684008!16s%2Fg%2F11y9_r657r?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
京厚屋-一中店,404台中市北區一中街23-3號,"https://www.google.com.tw/maps/place/%E4%BA%AC%E5%8E%9A%E5%B1%8B-%E4%B8%80%E4%B8%AD%E5%BA%97/@24.14744,120.6841671,21z/data=!4m6!3m5!1s0x34693d68e14895d3:0x4a472cdf5a97de63!8m2!3d24.1474739!4d120.6842112!16s%2Fg%2F11q97jr9tv?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
一湯匙 韓食料理,404台中市北區一中街25-3號,"https://www.google.com.tw/maps/place/%E4%B8%80%E6%B9%AF%E5%8C%99+%E9%9F%93%E9%A3%9F%E6%96%99%E7%90%86/@24.14744,120.6841671,21z/data=!4m6!3m5!1s0x34693d15dfba26df:0xcd4e04bed45f0671!8m2!3d24.1475022!4d120.684216!16s%2Fg%2F11s19mr9sb?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
麵屋かとむら-台中一中店,40444台中市北區太平路75巷22號,"https://www.google.com.tw/maps/place/%E9%BA%B5%E5%B1%8B%E3%81%8B%E3%81%A8%E3%82%80%E3%82%89-%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E5%BA%97/@24.14744,120.6841671,21z/data=!4m6!3m5!1s0x34693db0e9b7cf6f:0x2849bd1e4310a2af!8m2!3d24.1475479!4d120.6839094!16s%2Fg%2F11ffv6m2w4?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
豐味綠豆沙牛乳專門店一中支店,404台中市北區太平路63巷1號,"https://www.google.com.tw/maps/place/%E8%B1%90%E5%91%B3%E7%B6%A0%E8%B1%86%E6%B2%99%E7%89%9B%E4%B9%B3%E5%B0%88%E9%96%80%E5%BA%97%E4%B8%80%E4%B8%AD%E6%94%AF%E5%BA%97/@24.1476392,120.6844083,21z/data=!4m6!3m5!1s0x34693d6940e1e715:0x590983768cb535d6!8m2!3d24.1475451!4d120.6843569!16s%2Fg%2F11cjpb7b09?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
王印製麵麻辣乾麵,404台中市北區太平路65號,"https://www.google.com.tw/maps/place/%E7%8E%8B%E5%8D%B0%E8%A3%BD%E9%BA%B5%E9%BA%BB%E8%BE%A3%E4%B9%BE%E9%BA%B5/@24.1475451,120.68422,21z/data=!4m6!3m5!1s0x34693d693efb28b1:0xe41d9b7f5c1e44d7!8m2!3d24.1476399!4d120.684423!16s%2Fg%2F1trsvrjw?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
新高軒台中店,404台中市北區太平路75巷4號,"https://www.google.com.tw/maps/place/%E6%96%B0%E9%AB%98%E8%BB%92%E5%8F%B0%E4%B8%AD%E5%BA%97/@24.1478574,120.6838408,21z/data=!4m6!3m5!1s0x34693daa3d773533:0x798697c535fb18ba!8m2!3d24.1478577!4d120.6839788!16s%2Fg%2F11gzbfth24?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
蘇記健康滷味 一中店,404台中市北區太平路89號,"https://www.google.com.tw/maps/place/%E8%98%87%E8%A8%98%E5%81%A5%E5%BA%B7%E6%BB%B7%E5%91%B3+%E4%B8%80%E4%B8%AD%E5%BA%97/@24.1480985,120.6835635,21z/data=!4m6!3m5!1s0x34693d69366d7f3f:0xa17f723c6f02da91!8m2!3d24.1480985!4d120.6837003!16s%2Fg%2F11bwf7g4k9?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
老林鹽水雞總店（太平路與三民路交叉口，光南書店對面，寶島眼鏡騎樓。）,404台中市北區太平路89-1號光南書局斜對面，寶島眼鏡騎樓,"https://www.google.com.tw/maps/place/%E8%80%81%E6%9E%97%E9%B9%BD%E6%B0%B4%E9%9B%9E%E7%B8%BD%E5%BA%97%EF%BC%88%E5%A4%AA%E5%B9%B3%E8%B7%AF%E8%88%87%E4%B8%89%E6%B0%91%E8%B7%AF%E4%BA%A4%E5%8F%89%E5%8F%A3%EF%BC%8C%E5%85%89%E5%8D%97%E6%9B%B8%E5%BA%97%E5%B0%8D%E9%9D%A2%EF%BC%8C%E5%AF%B6%E5%B3%B6%E7%9C%BC%E9%8F%A1%E9%A8%8E%E6%A8%93%E3%80%82%EF%BC%89/@24.1480985,120.6835635,21z/data=!4m6!3m5!1s0x346923c3b42427af:0xa9242ce7fdbf1e00!8m2!3d24.1482317!4d120.6836656!16s%2Fg%2F11pcdjk2_q?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
一中老林鹽水雞,404台中市北區一中街50號,"https://www.google.com.tw/maps/place/%E4%B8%80%E4%B8%AD%E8%80%81%E6%9E%97%E9%B9%BD%E6%B0%B4%E9%9B%9E/@24.1481498,120.6846263,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x34693d430ea04d63:0x675932fa1f00a70!8m2!3d24.1482285!4d120.6846951!16s%2Fg%2F11q3m7jvhn?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
莊董粉行-冰粉藕粉,404台中市北區一中街35號,"https://www.google.com.tw/maps/place/%E8%8E%8A%E8%91%A3%E7%B2%89%E8%A1%8C-%E5%86%B0%E7%B2%89%E8%97%95%E7%B2%89/@24.1483812,120.6844765,21z/data=!4m6!3m5!1s0x34693d1ca09c1ab5:0x4670cf3daf621c5a!8m2!3d24.1483815!4d120.684614!16s%2Fg%2F11tjyn24p5?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
滷味串燒,404台中市北區一中街60號,"https://www.google.com.tw/maps/place/%E6%BB%B7%E5%91%B3%E4%B8%B2%E7%87%92/@24.14835,120.6846126,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x34693d69181460a1:0x9f739af3dfc0b713!8m2!3d24.148367!4d120.684766!16s%2Fg%2F11y2p_pv5?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
小8三色地瓜球（總店）,404台中市北區一中街60號,"https://www.google.com.tw/maps/place/%E5%B0%8F8%E4%B8%89%E8%89%B2%E5%9C%B0%E7%93%9C%E7%90%83%EF%BC%88%E7%B8%BD%E5%BA%97%EF%BC%89/@24.1483396,120.6846844,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x6d438d9c727e8649:0xd096a1e3b216cce2!8m2!3d24.1483627!4d120.6848686!16s%2Fg%2F11qbh1k6ym?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
辣騷麻辣魚蛋（台中一中店）,404台中市北區育才南街37號,"https://www.google.com.tw/maps/place/%E8%BE%A3%E9%A8%B7%E9%BA%BB%E8%BE%A3%E9%AD%9A%E8%9B%8B%EF%BC%88%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E5%BA%97%EF%BC%89/@24.14832,120.6847756,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x34693d4c69acc329:0x8747ce6897865f52!8m2!3d24.1484039!4d120.6849809!16s%2Fg%2F11s5fs654y?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
天使雞排-一中店｜網路票選人氣美食｜在地必吃厚切雞排｜排隊名店｜,404台中市北區一中街60號,"https://www.google.com.tw/maps/place/%E5%A4%A9%E4%BD%BF%E9%9B%9E%E6%8E%92-%E4%B8%80%E4%B8%AD%E5%BA%97%EF%BD%9C%E7%B6%B2%E8%B7%AF%E7%A5%A8%E9%81%B8%E4%BA%BA%E6%B0%A3%E7%BE%8E%E9%A3%9F%EF%BD%9C%E5%9C%A8%E5%9C%B0%E5%BF%85%E5%90%83%E5%8E%9A%E5%88%87%E9%9B%9E%E6%8E%92%EF%BD%9C%E6%8E%92%E9%9A%8A%E5%90%8D%E5%BA%97%EF%BD%9C/@24.1483267,120.6846844,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x34693d8905a40d57:0xdf0337ae5c62fd4!8m2!3d24.1484692!4d120.684789!16s%2Fg%2F11h0mvznbc?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
波特屋現烤起司馬鈴薯,404台中市北區一中街35號,"https://www.google.com.tw/maps/place/%E6%B3%A2%E7%89%B9%E5%B1%8B%E7%8F%BE%E7%83%A4%E8%B5%B7%E5%8F%B8%E9%A6%AC%E9%88%B4%E8%96%AF/@24.1483182,120.6845677,21z/data=!4m6!3m5!1s0x34693d693ce05de7:0xc7d7f400dbbcb0b3!8m2!3d24.1484231!4d120.6845838!16s%2Fg%2F1tknh5wq?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
蛋四分雞蛋仔交易所-一中總店,404台中市北區一中街58號,"https://www.google.com.tw/maps/place/%E8%9B%8B%E5%9B%9B%E5%88%86%E9%9B%9E%E8%9B%8B%E4%BB%94%E4%BA%A4%E6%98%93%E6%89%80-%E4%B8%80%E4%B8%AD%E7%B8%BD%E5%BA%97/@24.1483989,120.684504,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x34693d6945a5fc19:0x1e120b108dbaec51!8m2!3d24.1483759!4d120.6847376!16s%2Fg%2F11hcdw13bc?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
來來水果果汁,404台中市北區一中街37號,"https://www.google.com.tw/maps/place/%E4%BE%86%E4%BE%86%E6%B0%B4%E6%9E%9C%E6%9E%9C%E6%B1%81/@24.1483989,120.684504,21z/data=!4m6!3m5!1s0x34693d6922728491:0xbd90eb17c669b7ef!8m2!3d24.1485808!4d120.6846166!16s%2Fg%2F11fzsskjw7?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
櫻桃丘比特女僕咖啡 CherryCupido,404台中市北區三民路三段94巷7號3樓,"https://www.google.com.tw/maps/place/%E6%AB%BB%E6%A1%83%E4%B8%98%E6%AF%94%E7%89%B9%E5%A5%B3%E5%83%95%E5%92%96%E5%95%A1+CherryCupido/@24.1487498,120.6843957,20z/data=!4m6!3m5!1s0x34693d0022d1ab29:0xacd9275ac3bbb606!8m2!3d24.1487499!4d120.684589!16s%2Fg%2F11vrs_wy6b?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
起司瀑布,404台中市北區育才南街50號,"https://www.google.com.tw/maps/place/%E8%B5%B7%E5%8F%B8%E7%80%91%E5%B8%83/@24.1487498,120.6843957,20z/data=!4m6!3m5!1s0x34693dad990ab311:0x3306761e62dba2ec!8m2!3d24.1486406!4d120.6848319!16s%2Fg%2F11ksg60qxw?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
小太陽大腸包小腸（炭烤）-一中店,40444台中市北區一中街70號,"https://www.google.com.tw/maps/place/%E5%B0%8F%E5%A4%AA%E9%99%BD%E5%A4%A7%E8%85%B8%E5%8C%85%E5%B0%8F%E8%85%B8%EF%BC%88%E7%82%AD%E7%83%A4%EF%BC%89-%E4%B8%80%E4%B8%AD%E5%BA%97/@24.1487388,120.6845499,20z/data=!4m6!3m5!1s0x34693d158620f2a7:0x4cc2065ab977b71f!8m2!3d24.1487052!4d120.6848557!16s%2Fg%2F11t1qpdcxg?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
萊萊飯店,404台中市北區一中街41號,"https://www.google.com.tw/maps/place/%E8%90%8A%E8%90%8A%E9%A3%AF%E5%BA%97/@24.1487232,120.6847461,21z/data=!3m1!5s0x34693d691fdad625:0xd5b1238dc9dbe1e4!4m6!3m5!1s0x34693d691f77db61:0x1779179d53123567!8m2!3d24.1488221!4d120.6847307!16s%2Fg%2F11g6_274lj?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
初木山 一中店－雞排推薦|人氣炸物|北區必吃美食|在地推薦,404009台中市北區一中街41號,"https://www.google.com.tw/maps/place/%E5%88%9D%E6%9C%A8%E5%B1%B1+%E4%B8%80%E4%B8%AD%E5%BA%97%EF%BC%8D%E9%9B%9E%E6%8E%92%E6%8E%A8%E8%96%A6%7C%E4%BA%BA%E6%B0%A3%E7%82%B8%E7%89%A9%7C%E5%8C%97%E5%8D%80%E5%BF%85%E5%90%83%E7%BE%8E%E9%A3%9F%7C%E5%9C%A8%E5%9C%B0%E6%8E%A8%E8%96%A6/@24.148822,120.6845938,21z/data=!3m1!5s0x34693d691fdad625:0xd5b1238dc9dbe1e4!4m6!3m5!1s0x34693d4fdcb3e499:0x3d2fcd1efca34c7f!8m2!3d24.1488572!4d120.684739!16s%2Fg%2F11vz9510tt?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
牛眸奶 炸牛奶,404台中市北區一中街74號,"https://www.google.com.tw/maps/place/%E7%89%9B%E7%9C%B8%E5%A5%B6+%E7%82%B8%E7%89%9B%E5%A5%B6/@24.1487743,120.6848654,21z/data=!4m6!3m5!1s0x34693d4f9e446909:0x86de55a5f9f37c34!8m2!3d24.1487004!4d120.684964!16s%2Fg%2F11t_pj2pl8?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
炳修豆漿（一中店）烤鴨蛋餅,404台中市北區育才南街50號,"https://www.google.com.tw/maps/place/%E7%82%B3%E4%BF%AE%E8%B1%86%E6%BC%BF%EF%BC%88%E4%B8%80%E4%B8%AD%E5%BA%97%EF%BC%89%E7%83%A4%E9%B4%A8%E8%9B%8B%E9%A4%85/@24.1486779,120.6850336,21z/data=!4m6!3m5!1s0x34693d59d810576b:0xcda1b1460460673!8m2!3d24.1485779!4d120.6849227!16s%2Fg%2F11v3q6k8ts?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
糖小橘,404台中市北區育才南街41號對面 （水利大樓攤位,"https://www.google.com.tw/maps/place/%E7%B3%96%E5%B0%8F%E6%A9%98/@24.1485779,120.684786,21z/data=!3m1!5s0x34693d7a89cfe1a7:0xf58c42c04b50fdac!4m6!3m5!1s0x34693dce7615a981:0xe48ae9fcdd0b70af!8m2!3d24.1485387!4d120.6850163!16s%2Fg%2F11kqq9g52b?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
Q禾豐邑地瓜球-一中店,404台中市北區育才南街39號,"https://www.google.com.tw/maps/place/Q%E7%A6%BE%E8%B1%90%E9%82%91%E5%9C%B0%E7%93%9C%E7%90%83-%E4%B8%80%E4%B8%AD%E5%BA%97/@24.148499,120.684969,21z/data=!4m6!3m5!1s0x34693d5ff6a6afdf:0xf58d356d8187b9e8!8m2!3d24.1485605!4d120.6850659!16s%2Fg%2F11h51j0n66?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
叉很大-無骨炸雞-專賣店（一中總店）,404台中市北區育才南街35號,"https://www.google.com.tw/maps/place/%E5%8F%89%E5%BE%88%E5%A4%A7-%E7%84%A1%E9%AA%A8%E7%82%B8%E9%9B%9E-%E5%B0%88%E8%B3%A3%E5%BA%97%EF%BC%88%E4%B8%80%E4%B8%AD%E7%B8%BD%E5%BA%97%EF%BC%89/@24.1484421,120.6851192,21z/data=!4m6!3m5!1s0x34693d691b761eff:0xdd65a51fdfe17253!8m2!3d24.148476!4d120.6852272!16s%2Fg%2F11g6jcjw0z?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
一中街蛋包雞,404台中市北區尊賢街9號育才南街37號對面,"https://www.google.com.tw/maps/place/%E4%B8%80%E4%B8%AD%E8%A1%97%E8%9B%8B%E5%8C%85%E9%9B%9E/@24.1484421,120.6851192,21z/data=!3m1!5s0x34693d69023d73ed:0x6bac20e7c4f9fffb!4m6!3m5!1s0x34693d6905c988d5:0x6ee2b223c0b73c3b!8m2!3d24.1484243!4d120.6852986!16s%2Fg%2F11cm_h6_ql?entry=ttu&g_ep=EgoyMDI1MDQxNC4xIKXMDSoASAFQAw%3D%3D"
