餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
翁記泡沫廣場,鄭景紘,在地嚮導 · 86 則評論 · 61 張相片,3 小時前,5 顆星,他們家的餐點價格實惠、份量也足夠。非常推薦😄 …
翁記泡沫廣場,劉明盈,7 則評論 · 2 張相片,1 天前,4 顆星,"適合跟朋友聊天聚會的好地方
食物份量偏少，但烏龍豆乾好吃～
珍奶是古早味"
翁記泡沫廣場,emina chen,在地嚮導 · 11 則評論 · 6 張相片,2 天前,3 顆星,"傳說中的泡沫紅茶老店
原來就在一中街附近欸
話說以前曾經經過而已
年輕的時候沒有來過這裡
反而是這兩年才一直聽到朋友推薦
現在一段時間就會來一次
那個豆乾真的太太太上癮了
快約朋友一起來😄"
翁記泡沫廣場,徐安迪,在地嚮導 · 62 則評論 · 8 張相片,4 天前,1 顆星,"漲價漲這麼兇也就罷了
開發票還愛開不開  不問就不開
是想被查是不是"
翁記泡沫廣場,郭巧容,在地嚮導 · 28 則評論 · 31 張相片,4 天前,5 顆星,這是我們老台中人懷念的老味道帶朋友去吃他讚不絕口因為他是豆乾王他說無與倫比的好吃給一百分
翁記泡沫廣場,林喬芯,在地嚮導 · 61 則評論 · 15 張相片,6 天前,1 顆星,好爛 薛店 東西不好吃
翁記泡沫廣場,Wels Liu,在地嚮導 · 33 則評論 · 14 張相片,1 週前,3 顆星,評價餐飲
翁記泡沫廣場,陳柏諺,"在地嚮導 · 368 則評論 · 4,076 張相片",1 週前,5 顆星,"從小看到大
今天終於第一次來啦
真的超棒耶
珍珠奶茶好喝
招牌豆干辣味讚讚
毛豆薯條也超讚
豆腐更讚啦"
翁記泡沫廣場,高偉智,在地嚮導 · 84 則評論 · 294 張相片,1 週前,5 顆星,對煙味敏感，門口座椅區抽煙的客人煙味直接飄進來全店，似乎沒有躲藏的地方。大門開著的，裡面外面似乎沒有隔開的意義了
翁記泡沫廣場,Clint Chen,在地嚮導 · 167 則評論 · 225 張相片,2 週前,4 顆星,與朋友聚會好地方，小食很開胃，個人喜歡白蘭地紅茶與芬蘭果汁。
翁記泡沫廣場,陳維連,在地嚮導 · 7 則評論 · 41 張相片,2 週前,1 顆星,外帶ㄧ塊黑豆干70元、被搶劫的感覺
翁記泡沫廣場,謝小寶,10 則評論 · 3 張相片,2 週前,5 顆星,
翁記泡沫廣場,蕭宗慶,在地嚮導 · 5 則評論,2 週前,3 顆星,"在地老店,餐點多,味道好,燈光美,氣氛佳,若不要漏開發票逃漏稅的話會更好"
翁記泡沫廣場,周羿帆,3 則評論,2 週前,1 顆星,小孩想要睡覺，讓他趴下來，服務人員過來告知這裡不能睡覺，不太懂這個規定
翁記泡沫廣場,小藍,在地嚮導 · 14 則評論 · 1 張相片,3 週前,1 顆星,物價上漲可理解 房租漲價可理解  但是這次真的差很多  炒飯份量比路邊攤還少 味道也沒好到哪裡 還不如買路邊攤回家吃  不會再來 反正在貴的店都有人會來 那我寧可選 春水堂吧。翁只剩豆干 厚片 能吃了！
翁記泡沫廣場,鄭喻文,6 則評論,3 週前,5 顆星,
翁記泡沫廣場,V約翰之神,在地嚮導 · 14 則評論 · 1 張相片,3 週前,1 顆星,太貴
翁記泡沫廣場,Sarah Chiang,在地嚮導 · 38 則評論,3 週前,4 顆星,
翁記泡沫廣場,Bryan Chen,"在地嚮導 · 174 則評論 · 1,245 張相片",3 週前,5 顆星,懷念的好地方，豆乾超好吃
翁記泡沫廣場,Rou Chen,在地嚮導 · 58 則評論 · 37 張相片,3 週前,2 顆星,"食物好吃
一樣的味道
現在到底有開發票還是沒開發票？

櫃檯老闆態度好兇
看到旁邊客人要外帶
口氣有夠兇 叫他到吧台打包
服務業真的不用這樣訓話口氣….."
翁記泡沫廣場,Liang LingLing,在地嚮導 · 6 則評論 · 2 張相片,3 週前,5 顆星,
翁記泡沫廣場,Mr.Q,在地嚮導 · 194 則評論 · 648 張相片,4 週前,4 顆星,記憶中的忘記豆乾最好吃
翁記泡沫廣場,LiJyun Chen,在地嚮導 · 175 則評論 · 184 張相片,4 週前,2 顆星,"好貴。
一點心70元、飲料也差不多價位，而且份量都不多。
兩個人吃兩杯茶四樣點心440。"
翁記泡沫廣場,Ivy Huang,"在地嚮導 · 373 則評論 · 1,410 張相片",1 個月前,4 顆星,"這吃的應該是時代的眼淚吧！
可能我剛好嘴破所以吃豆乾被辣到了
但是芬蘭果汁很好喝～
牛肉燴飯就一般般
臨時起意想吃泡沫紅茶店
結果幾年前常吃的綠＊茶居然全部收掉了
不過還好翁記還在🤣🤣🤣"
翁記泡沫廣場,伊宇嫣,3 則評論 · 1 張相片,1 個月前,5 顆星,
翁記泡沫廣場,李佳和,在地嚮導 · 25 則評論 · 16 張相片,1 個月前,5 顆星,很傳統，飲料很不錯，辣味豆乾入味也夠辣。惟價格稍高，但仍值得一試
翁記泡沫廣場,金力,2 則評論,1 個月前,1 顆星,老店賺飽了 態度有夠差  吃的也ㄧ般般宵張什麼
翁記泡沫廣場,施冠宇,在地嚮導 · 37 則評論 · 12 張相片,1 個月前,4 顆星,
翁記泡沫廣場,H S,在地嚮導 · 52 則評論 · 50 張相片,1 個月前,5 顆星,烏龍豆干好好吃
翁記泡沫廣場,Archie Hsiao (阿奇),在地嚮導 · 37 則評論 · 16 張相片,1 個月前,4 顆星,喜歡跟朋友一起去的地方，吃點心喝茶豆干必點👍 …
翁記泡沫廣場,mikayla chang,在地嚮導 · 68 則評論 · 20 張相片,1 個月前,5 顆星,"平常不喜歡吃豆乾
但這家辣烏龍豆乾無敵
一個人可以吃三個"
翁記泡沫廣場,ShiYu Wang,"在地嚮導 · 464 則評論 · 1,225 張相片",1 個月前,5 顆星,"豆干不能錯過
不過辣度很高
不是吃很辣的人可以考慮微辣就好"
翁記泡沫廣場,蕭佳,16 則評論,1 個月前,5 顆星,台中老字號茶藝館！飲料好喝又便宜，餐點豐富也便宜，來這裡聊天、消磨時間超棒的！心情超放鬆！鄰近又有停車場超方便😃 …
翁記泡沫廣場,周慧雅,14 則評論,1 個月前,4 顆星,感覺上還是喜歡二十幾年前在路邊暗暗微亮燈光的翁記，覺得現在都翁紀尤其是泡沫红茶味有點變了豆乾也沒有像以前那麼辣了還是喜歡以前的感覺。
翁記泡沫廣場,Joy,"在地嚮導 · 367 則評論 · 1,475 張相片",1 個月前,3 顆星,來吃懷念的味道，茶點都還可以，但套餐的餐點真的很不推薦，太隨便的料理了、吃過最難吃的宮保雞丁套餐、超雷，應該不會再訪吧
翁記泡沫廣場,sueann,在地嚮導 · 12 則評論 · 381 張相片,1 個月前,4 顆星,
