餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
大東夜市,小晴,在地嚮導 · 36 則評論 · 5 張相片,37 分鐘前,1 顆星,一顆星給槍射氣球的老闆，還沒完就問老闆一局多少老闆就說錢不用管打就對了，而且還卡彈兩三次說要補也沒補，結果朋友打中六顆有一隻娃娃（小隻的）我們兩個人各玩一局（因該是兩百）老闆卻跟我們收400元，希望大家別受騙（此攤販在射弓手旁邊）請大家注意
大東夜市,Chang Duncan,在地嚮導 · 26 則評論 · 12 張相片,13 小時前,2 顆星,人擠爆 …擠了一圈。花了1個多小時買了個排骨酥…
大東夜市,Shuk Chun Cheung,在地嚮導 · 170 則評論 · 44 張相片,23 小時前,4 顆星,好多食物選擇，但有鐵板牛排就有d懷疑牛嘅成份
大東夜市,高菀妤,在地嚮導 · 25 則評論 · 3 張相片,1 天前,5 顆星,非常好逛逛
大東夜市,顏書舲,在地嚮導 · 28 則評論 · 27 張相片,1 天前,5 顆星,
大東夜市,王元宏,在地嚮導 · 39 則評論 · 3 張相片,1 天前,5 顆星,
大東夜市,劉彥妤,在地嚮導 · 1 則評論,1 天前,5 顆星,
大東夜市,YaWen Hsu,在地嚮導 · 25 則評論 · 9 張相片,1 天前,5 顆星,很多吃的！
大東夜市,劉慶明,在地嚮導 · 10 則評論 · 8 張相片,1 天前,5 顆星,
大東夜市,張巧虎,"在地嚮導 · 549 則評論 · 3,321 張相片",2 天前,4 顆星,還行
大東夜市,Vivian Lau,在地嚮導 · 17 則評論 · 243 張相片,2 天前,4 顆星,
大東夜市,咻咻蹦,5 則評論,2 天前,3 顆星,攤販有點少，但整體規劃還不錯
大東夜市,陳文捷,3 則評論 · 2 張相片,2 天前,2 顆星,
大東夜市,Sun,8 則評論 · 4 張相片,2 天前,5 顆星,
大東夜市,沛堤,在地嚮導 · 13 則評論 · 4 張相片,2 天前,3 顆星,
大東夜市,N•O•Y ninio,在地嚮導 · 16 則評論 · 154 張相片,3 天前,4 顆星,
大東夜市,ping,2 則評論 · 1 張相片,3 天前,5 顆星,
大東夜市,YL Z,在地嚮導 · 16 則評論 · 6 張相片,3 天前,5 顆星,環境整潔 東西還不錯👍🏿 …
大東夜市,Jun,8 則評論,3 天前,5 顆星,
大東夜市,Vignesh Sarvothamaraj,在地嚮導 · 38 則評論 · 318 張相片,3 天前,3 顆星,
大東夜市,陳鵬全,"在地嚮導 · 34 則評論 · 1,250 張相片",3 天前,5 顆星,
大東夜市,曾怡禎,在地嚮導 · 16 則評論 · 17 張相片,3 天前,5 顆星,很喜歡
大東夜市,pann,在地嚮導 · 9 則評論 · 39 張相片,4 天前,4 顆星,沒什麼好看的。
大東夜市,風（在下毛毛雨）,在地嚮導 · 8 則評論 · 41 張相片,5 天前,4 顆星,地主吵架所以分成兩邊
大東夜市,泥瞅啥（庫巴蝦餃）,在地嚮導 · 19 則評論 · 14 張相片,5 天前,4 顆星,
大東夜市,洪連鴻,在地嚮導 · 1 則評論 · 79 張相片,5 天前,3 顆星,
大東夜市,楊季葳,在地嚮導 · 21 則評論 · 49 張相片,6 天前,5 顆星,
大東夜市,coofootra,"在地嚮導 · 445 則評論 · 10,594 張相片",6 天前,4 顆星,越來越少攤販了
大東夜市,楊竣詠,在地嚮導 · 764 則評論 · 175 張相片,6 天前,5 顆星,很棒的夜市，東西好吃。
大東夜市,Steven Chong,在地嚮導 · 138 則評論 · 62 張相片,6 天前,3 顆星,一個乾淨的地方，但不是那麼大。
大東夜市,詹旻翰,5 則評論 · 1 張相片,6 天前,1 顆星,超傻眼，買2件衣服而已，其中一件就拿錯貨，原本一天的好心情都被破壞了，而且我住台中，是叫我在開車回去找攤位退嘛…
大東夜市,Toh CJ,在地嚮導 · 117 則評論 · 176 張相片,6 天前,5 顆星,
大東夜市,Sweetnsourgruffi,在地嚮導 · 21 則評論 · 306 張相片,6 天前,4 顆星,
大東夜市,Richard Lim,在地嚮導 · 13 則評論 · 5 張相片,1 週前,4 顆星,
大東夜市,逸翔,在地嚮導 · 19 則評論 · 10 張相片,1 週前,4 顆星,
大東夜市,李憶慈,6 則評論 · 1 張相片,1 週前,3 顆星,
大東夜市,江盛文,"在地嚮導 · 4 則評論 · 1,114 張相片",1 週前,4 顆星,
