餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
原住民石板烤肉,WenLing Tsai,"在地嚮導 · 486 則評論 · 1,116 張相片",3 個月前,5 顆星,"老闆很用心還會去掉烤焦的部份
而且還有用機器切肉
避免大小不均、等候時間過長的問題
可以選綜合有烤肉跟香腸，兩種都很好吃"
原住民石板烤肉,探員m,"在地嚮導 · 597 則評論 · 4,513 張相片",1 年前,4 顆星,"點了香腸和鹹豬肉綜合，滿滿一盒肉才100台幣。

香腸口味較甜，烤肉是黑胡椒口味，配上蒜片不可能不好吃。
不過我覺得烤肉切得太薄，沒有吃肉的感覺，其實切厚一點也不用裝比較多，老闆可以考慮一下。"
原住民石板烤肉,Levis Lu,"在地嚮導 · 768 則評論 · 8,676 張相片",4 年前,5 顆星,"原住民石板烤肉

烤肉60/香腸60
我們點了一份綜合100
排隊好多人，大概等10分鐘還可以
上面有放薑絲、還有蒜頭可以自己拿👍
老闆的刀工好強啊！切香腸好快好薄
不只石板烤肉很吸睛，還有喇叭超復古

肉烤完後放到砧板，切幾刀後
放到旁邊的機器，幾秒後出來切細的！
第一次看到有把機器帶去擺攤（通常店面才會看到"
原住民石板烤肉,棕毛大型犬,在地嚮導 · 465 則評論 · 588 張相片,6 個月前,2 顆星,蒜給的很少，少到會覺得還不如不要給😂配肉根本不夠。烤肉很普通，太鹹也太甜。 …
原住民石板烤肉,Michi,"在地嚮導 · 1,181 則評論 · 6,844 張相片",2 年前,4 顆星,烤肉比香腸好吃，香味四溢，可惜份量相較價錢較少
原住民石板烤肉,Kerry xx,在地嚮導 · 27 則評論 · 133 張相片,5 年前,5 顆星,如果喜歡食烤肉，在大東夜市務必要試試原住民石板烤肉，大排長龍不無原因。我也忍不住排第二次長龍，也要回味一番。
原住民石板烤肉,何婉嘉,"在地嚮導 · 450 則評論 · 2,480 張相片",2 年前,4 顆星,"排隊大概15分鐘
老闆動作其實蠻俐落蠻快的
只是烤肉需要時間所以要等～看老闆切香腸很療癒，有專門切烤肉的機器很猛讓每塊烤肉都一樣厚薄真的吃起來口感很好，熱熱吃很重的胡椒香，冷掉吃居然也不油肉也沒有變硬還是一樣很香，薑很解膩覺得搭配很酷（不吃大蒜就沒加了～），整體口感非常棒

但是如果排隊要20分鐘以上不考慮也不推薦～大熱天又是夜市要排隊那麼久就失去吃夜市小吃邊走邊逛的樂趣了！"
原住民石板烤肉,邱維,在地嚮導 · 538 則評論 · 409 張相片,9 個月前,4 顆星,百元就能買到一盒滿滿的山豬肉和香腸，都很多汁，但也偏油了點；附上的蒜真的夠嗆辣，搭配起來很讚
原住民石板烤肉,黃鈺翔,4 則評論,7 個月前,5 顆星,石板烤肉113年10月1日起在大東東夜市，在原位對面，洗手台旁，並請舊雨新知，給予支持，感謝您
原住民石板烤肉,馨小尹,在地嚮導 · 80 則評論 · 80 張相片,2 年前,5 顆星,2023/02/27烤肉又出來擺攤囉！！
原住民石板烤肉,Yvonne,11 則評論 · 6 張相片,2 年前,5 顆星,已經去了兩次都收攤 問其他攤的阿姨說鹹豬肉的阿姨身體不舒服不開了🥺好可惜！！！希望阿姨好好養病，可以再吃到超好吃的鹹豬肉！！！！ …
原住民石板烤肉,xxx xxx,16 則評論 · 2 張相片,4 年前,1 顆星,"前幾天去買的時候
看到一個大媽（店家認識的）
拿了一個塑膠袋 在裝蒜頭
過程用手在蒜頭堆裡摸來摸去，像在菜市場挑菜一樣 ，也不知道手乾不乾淨，摸了兩三分鐘有，店家看到也不制止，最後裝了整整一袋回去。
但今天去買烤肉時，只是拿了我自己一個人要吃的份量的蒜頭，準備要走時，就被老闆叫回去說拿太多，要求我放回去？
可以不用這麼差別待遇
衛生堪憂就算了
這服務種看人的服務真的不敢恭維，呵呵。"
原住民石板烤肉,Hsu Danny,"在地嚮導 · 3,603 則評論 · 8,550 張相片",3 年前,4 顆星,烤肉是滿好吃的，但抹布神功也滿扯的。會介意的人真的倒胃口，不過我不太介意。
原住民石板烤肉,77,在地嚮導 · 18 則評論 · 3 張相片,2 年前,5 顆星,"終於開了🥹🥹🥹🥹
等了大半年！！！ …"
原住民石板烤肉,C. W,在地嚮導 · 213 則評論 · 383 張相片,8 年前,2 顆星,香腸及烤肉別具風味，但看老闆娘的抹布擦桌子又擦砧板就不敢吃了。
原住民石板烤肉,祐昇,7 則評論 · 2 張相片,3 年前,1 顆星,衛生堪慮，一條抹布擦桌子、擦切肉盆、擦粘版，除了東擦西擦外，看似老闆娘的口氣很不好，只賣綜合！其他就沒有！？
原住民石板烤肉,辛重緯,"在地嚮導 · 650 則評論 · 2,817 張相片",6 年前,5 顆星,石板烤肉跟香腸都好吃~
原住民石板烤肉,Jovie,7 則評論 · 1 張相片,2 年前,5 顆星,"真的是超好吃😭
常特地安排一二休息遠從台北南下卻撲空了2回好傷心啊🥹
請問能提供任何聯絡方式嗎？？
好讓我們可以提前確認是否有營業🥹 …"
原住民石板烤肉,黃鈺婷,在地嚮導 · 16 則評論 · 7 張相片,3 年前,5 顆星,在地人推薦，平價美味的夜市小吃，CP值高，老闆娘親切，也懇請廣大網友們排隊時務必遵守老闆提醒的注意事項，避免優質店家遭受有心人士的惡意騷擾與謾罵，既耽誤了自己的等待時間與老闆的作業進度，還得現場被魔音穿腦與收看低級抓馬＝＝
原住民石板烤肉,小攸,9 則評論 · 5 張相片,9 個月前,5 顆星,有人知道位置改去那邊嗎？
原住民石板烤肉,ProY Ngo,23 則評論,4 年前,5 顆星,"讚。好味道

另外旁邊不遠處220鹹水雞別去吃，0星勸世，最近沒有情緒，人生平淡的可去試試。"
原住民石板烤肉,Michael Hsu,在地嚮導 · 267 則評論 · 11 張相片,1 年前,5 顆星,這攤的口味真的不錯!
原住民石板烤肉,Eric Shih,"在地嚮導 · 1,562 則評論 · 11,191 張相片",1 年前,3 顆星,"推薦烤肉！
香腸！"
原住民石板烤肉,王科鑒,在地嚮導 · 92 則評論 · 59 張相片,2 年前,5 顆星,烤肉香腸很好吃
原住民石板烤肉,Queenie Yen,13 則評論 · 24 張相片,1 年前,5 顆星,有人知道搬去哪裡了嗎🥺🥺 …
原住民石板烤肉,Macy W.,在地嚮導 · 62 則評論 · 38 張相片,4 年前,5 顆星,綜合100 料超多 好吃
原住民石板烤肉,Elena Lai,在地嚮導 · 18 則評論 · 25 張相片,2 年前,4 顆星,好吃的香腸跟烤肉
原住民石板烤肉,GuoNi被Google除名的嚮導,479 則評論 · 8 張相片,8 年前,5 顆星,道地的原住民烤法 很熱血XD
原住民石板烤肉,Winnie Chang,在地嚮導 · 183 則評論 · 623 張相片,7 年前,5 顆星,原住民石板烤肉與香腸都好吃
原住民石板烤肉,宅仙Chai hsien,在地嚮導 · 359 則評論 · 195 張相片,5 年前,4 顆星,石板烤肉跟香腸都好吃
原住民石板烤肉,Samson Ting,在地嚮導 · 31 則評論 · 59 張相片,5 年前,5 顆星,大東夜市必吃
原住民石板烤肉,Jason Young,"在地嚮導 · 3,470 則評論 · 6,263 張相片",7 年前,5 顆星,超愛烤肉!
原住民石板烤肉,inu K.,"在地嚮導 · 842 則評論 · 2,548 張相片",3 個月前,5 顆星,"位於台南大東東夜市邊緣的充滿活力且價格合理的烤肉攤。

顧名思義，店家看起來像個原住民，在一塊大石板上烤五花肉和台灣香腸。
台灣各地都有香腸攤，但賣原住民肉的攤可能不多。

由於是石烤，肉又大，如果時機不對，就得等一會兒才熟。
撒上鹽基香料，烘烤後，將其放在圓板上，然後用一把巨大的原住民風格的刀將其切成碎片。
使用自動機器將肉進一步切成一口大小的塊（這是唯一現代的部分）。

包裝在一個日本街頭小吃炒麵大小的塑膠袋中，每件售價70元，肉和香腸的混合物售價100元。
他們會免費添加薑和大蒜。
大蒜是生的，所以很辣，但很適合搭配肉。

缺點是除非坐下來很難吃，但味道很棒。"
原住民石板烤肉,Kuowei Huang,"在地嚮導 · 283 則評論 · 1,514 張相片",3 年前,3 顆星,生意很好的石板烤肉
原住民石板烤肉,吳明城,"1,426 則評論",7 年前,4 顆星,要等
原住民石板烤肉,Star Chou,"在地嚮導 · 2,094 則評論 · 7 張相片",8 年前,5 顆星,便宜又好吃
原住民石板烤肉,Victor,"在地嚮導 · 469 則評論 · 1,963 張相片",5 個月前,5 顆星,
原住民石板烤肉,蔡志浩,3 則評論 · 1 張相片,1 年前,5 顆星,
原住民石板烤肉,Ryan Lu,在地嚮導 · 50 則評論 · 200 張相片,4 年前,5 顆星,
原住民石板烤肉,Vic Wang,在地嚮導 · 75 則評論 · 7 張相片,6 年前,5 顆星,
原住民石板烤肉,M Y,在地嚮導 · 13 則評論 · 84 張相片,6 年前,5 顆星,
