餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
花園夜市,謝政諺,在地嚮導 · 5 則評論 · 35 張相片,24 分鐘前,5 顆星,東東拔絲地瓜！好吃又便宜.來花園夜市一定要去買來吃的.邊走邊吃逛夜市才有逛夜市的感覺.
花園夜市,吳冠臻,3 則評論 · 7 張相片,3 小時前,2 顆星,
花園夜市,黃金龍,在地嚮導 · 15 則評論 · 3 張相片,4 小時前,3 顆星,
花園夜市,宮﨑英之（らくだねこ）,1 則評論 · 6 張相片,6 小時前,4 顆星,"當地活力令人驚嘆
食物和飲料都很棒"
花園夜市,Tsurara Oikawa,在地嚮導 · 68 則評論 · 95 張相片,13 小時前,4 顆星,"人很多，停車等很久
碳烤雞排超好吃（檸檬梅子口味）"
花園夜市,Ferry Kurniawan,在地嚮導 · 8 則評論 · 17 張相片,14 小時前,5 顆星,
花園夜市,恩霈,在地嚮導 · 17 則評論 · 9 張相片,14 小時前,5 顆星,
花園夜市,吳宇平,在地嚮導 · 29 則評論 · 2 張相片,21 小時前,5 顆星,
花園夜市,Blaise Chen,在地嚮導 · 127 則評論 · 341 張相片,22 小時前,5 顆星,
花園夜市,王裕（WANG YU）,在地嚮導 · 58 則評論 · 79 張相片,1 天前,5 顆星,大部分食物都不錯，區域非常大很多樣，遊戲多元但也不便宜😂😂😂 …
花園夜市,王元宏,在地嚮導 · 39 則評論 · 3 張相片,1 天前,5 顆星,
花園夜市,邱千珍,14 則評論 · 4 張相片,1 天前,5 顆星,讚
花園夜市,在地上爬,2 則評論,1 天前,5 顆星,
花園夜市,人面花,在地嚮導 · 137 則評論 · 21 張相片,1 天前,3 顆星,大地標但沒什麼太大差異
花園夜市,蔡鴨子,在地嚮導 · 3 則評論,1 天前,4 顆星,
花園夜市,家華,在地嚮導 · 47 則評論 · 119 張相片,2 天前,1 顆星,"整體來說，推薦酵素臭豆腐，烤魚沒吃但看起來不錯，還有現烤麵包，阿嬤坐旁邊抹著香蒜醬，很香但我沒買不知道好不好吃，玩的很多，很好停機車，騎車有夜市免費的，但應該都被商家停滿，附近一次$150，推薦大東夜市，比較找得到好吃的東西。
吃了
1. 飲8呼爽$36：古早味紅茶35，忘記調甜度，甜到會起痰，順口不澀還ok
2京典酵素臭豆腐$70：真的很好吃，內用先入座找位子後點餐，外層的炸皮很特別，有密集氣泡感，內層豆腐很軟嫩吸飽醬汁，超好吃，泡菜偏鹹，不喜歡，感覺單吃臭豆腐本人就很好吃了吧，可以不搭泡菜！
3. 新宿章魚小丸子$50：沒吃過這麼難吃的章魚燒，章魚小塊就算了，裡面還有點空心，沒有什麼麵糊，醬料很閒，很重口味，不知道在吃什麼，很痛苦。
4. 碳烤雞排$80 ：競爭激烈的碳烤雞排都在同排，我買旁邊有拉線要排隊的那家，看到傳統雞排很大炸過刷醬烤，感覺就很好吃，結果買了肉比皮還薄，皮超鹹超硬，很像買炸物冷藏一晚後再拿出來氣炸的口感，吃一口後不想吃皮只想吃肉，也找不到肉，都是皮，一片80，賣這樣，真沒道德。"
花園夜市,Hamusuta,7 則評論 · 1 張相片,2 天前,5 顆星,很多好吃的東西
花園夜市,蘇玉華,,2 天前,5 顆星,
花園夜市,仙茶坊 中和興南店,在地嚮導 · 19 則評論 · 15 張相片,2 天前,5 顆星,👍 值得來訪 …
花園夜市,Tony Xu,在地嚮導 · 33 則評論 · 38 張相片,2 天前,3 顆星,那裡的食物還可以。
花園夜市,洄瀾,2 則評論,2 天前,5 顆星,吃的與遊戲分類清楚，值得一逛
花園夜市,D avid,5 則評論 · 10 張相片,2 天前,4 顆星,
花園夜市,C Erica,在地嚮導 · 66 則評論 · 48 張相片,2 天前,5 顆星,"看到人很多跟著排就對了！
雖然有點貴不過份量很多
美祿口味ㄉ推推"
花園夜市,chynsb,在地嚮導 · 15 則評論 · 10 張相片,2 天前,5 顆星,"花園夜市吃喝玩樂全包了，各式美食與各項商品應有盡有，就連3C產品與寵物服飾都找的到.
最棒的是還有提供停車場供使用，不管是騎車或開車來都非常方便."
花園夜市,Daniel Chang,9 則評論 · 3 張相片,2 天前,4 顆星,好多店重複逛到有點無聊
