餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容
全壘打牛排武聖店,莊程皓,324 則評論 · 207 張相片,2 週前,4 顆星,"牛排中規中矩
不過濃湯真的不錯喝，加上胡椒更讚了
內用位置蠻多的不用擔心沒位置"
全壘打牛排武聖店,王有沁,8 則評論 · 1 張相片,1 個月前,1 顆星,"爛店，員工
素質差"
全壘打牛排武聖店,洪柏銘,9 則評論 · 7 張相片,1 個月前,1 顆星,"我在貴店用餐，雞排、雞腿排肉吃起來不錯，但是直接在客人面前抽菸
我跟我女友臉上都是你的煙味
紅茶也有一股酸味，以後不會再來了"
全壘打牛排武聖店,gn Lee,在地嚮導 · 37 則評論 · 10 張相片,1 個月前,5 顆星,"口味尚可 一份80元有蛋有濃湯有餐包還要被抽手續費
原本以為送來會是小的那種便當盒 結果那個麵量夠我吃兩餐沒問題 食量小的說不定還能分三餐🥲"
全壘打牛排武聖店,羅婷萱,在地嚮導 · 23 則評論 · 9 張相片,2 個月前,1 顆星,"餐點需要花時間等待，因為隔壁桌(比我們晚來的)跟店員反應等了很久了，結果就優先上他們的餐點，感受很差……

建議人潮多時，可以先跟客人告知餐點需等候"
全壘打牛排武聖店,Q毛ㄟ阿政,在地嚮導 · 24 則評論 · 2 張相片,2 個月前,1 顆星,"出餐超慢，還有比我晚來2桌的都快吃完了，我們的才來。

1片薄薄的組合肉+白麵+蛋=150$"
全壘打牛排武聖店,吳先逸,在地嚮導 · 151 則評論 · 371 張相片,2 個月前,1 顆星,"這個味道不是印象中的全壘打
黑胡椒不像黑胡椒
蘑菇不像蘑菇
白麵條就是白麵條
放在一起就是不好吃👎
只有濃湯可以喝而已
剩下的真的…
好失望"
全壘打牛排武聖店,希兒,在地嚮導 · 21 則評論,2 個月前,1 顆星,很忙餐點很慢就算了，比我晚來的客人都吃飽離開很久了，餐點還沒來，問了兩次都說在做了，最後等了四十幾分鐘等不下去打算走了才說已經做好了要上餐了，厚片豬排是重組肉，沒味道又難咬，非常難吃，過年吃飯吃的一肚子氣
全壘打牛排武聖店,Cher Yu,在地嚮導 · 114 則評論 · 10 張相片,2 個月前,1 顆星,
全壘打牛排武聖店,yan Yan,在地嚮導 · 118 則評論 · 49 張相片,3 個月前,1 顆星,"比我們晚來的都已經上了，還要上前去問才發現忘記做（？
以前來武聖就有看到這間，以往都是吃巧虎，想說今天來吃看看，第一次就有不好的感受…"
全壘打牛排武聖店,AP 張 (ABY),5 則評論,3 個月前,1 顆星,餐點很久就算了 蛋散掉還完全沒熟 鐵板也不熱 問老闆沒熟這樣怎麼吃？ 老闆說就這樣吃啊  還有蛋殼跟老闆反應後 又拿一顆煎到焦掉的 吃完肚子也很不舒服 離開時看到客人用餐完的餐具都放在水溝上 …不予置評
全壘打牛排武聖店,文凱,在地嚮導 · 44 則評論 · 8 張相片,4 個月前,1 顆星,
全壘打牛排武聖店,議寬,1 則評論,4 個月前,1 顆星,
全壘打牛排武聖店,222ff Xue,在地嚮導 · 35 則評論 · 19 張相片,4 個月前,1 顆星,"雖然說夜市牛排一份也才不到兩百，口味的部分就不多說什麼，但是鐵盤一送上來就是冷的真的很誇張，上面的蛋從開動前到用餐完畢後至少15分鐘過了，蛋還是如照片上（用餐完畢後拍的）一樣很明顯蛋白沒有熟，整個蛋就像水一樣真的不敢吃欸⋯
再說一次
鐵盤一送上來就是冷的 真的很誇張！！！！！
不奢望店家看到，但至少客人們 自己避雷‼️"
全壘打牛排武聖店,林致炫,2 則評論,4 個月前,5 顆星,很久之前就來過一次了，覺得服務態度沒有很好，今天晚上來特地點了一份店裡最貴的菲力牛排，5分熟度剛剛好，煎台師傅人服務態度也很好，跟以前差很多，一個人大概150～250就能吃飽了，下次還會再來。
