餐廳名稱,餐廳連結
大東夜市,https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e769b79d2493d:0xfafc2c8a0c68d96d!8m2!3d22.9826132!4d120.2193412!16s%2Fg%2F155s6l9j!19sChIJPUnSeZt2bjQRbdloDIos_Po?authuser=0&hl=zh-TW&rclk=1
大東夜市,https://www.google.com/maps/place/%E5%A4%A7%E6%9D%B1%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e769b40a5d711:0x19925377a452524f!8m2!3d22.9835849!4d120.2178025!16s%2Fg%2F11b827t5qm!19sChIJEdelQJt2bjQRT1JSpHdTkhk?authuser=0&hl=zh-TW&rclk=1
原住民石板烤肉,"https://www.google.com/maps/place/%E5%8E%9F%E4%BD%8F%E6%B0%91%E7%9F%B3%E6%9D%BF%E7%83%A4%E8%82%89/@22.9822261,120.216574,17z/data=!3m1!4b1!4m6!3m5!1s0x346e769b574196af:0xbe701c12d5c4f997!8m2!3d22.9822261!4d120.2191489!16s%2Fg%2F1pzwkxjln?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
東洲黑糖奶舖,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96/data=!4m7!3m6!1s0x346e769159b91769:0x208d2042fdb12ac3!8m2!3d22.9916849!4d120.2219014!16s%2Fg%2F11b7dspp9x!19sChIJaRe5WZF2bjQRwyqx_UIgjSA?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶舖 台南新光三越西門店,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96+%E5%8F%B0%E5%8D%97%E6%96%B0%E5%85%89%E4%B8%89%E8%B6%8A%E8%A5%BF%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x346e779aae619b2d:0x549b4950c278e3a0!8m2!3d22.9868943!4d120.1985504!16s%2Fg%2F11gmfmmpqr!19sChIJLZthrpp3bjQRoON4wlBJm1Q?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶舖,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96/data=!4m7!3m6!1s0x346e770016cc471d:0xdc184bd56563730e!8m2!3d22.9827537!4d120.2195213!16s%2Fg%2F11vs2c9z17!19sChIJHUfMFgB3bjQRDnNjZdVLGNw?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶舖夢時代店 藍鯨館6樓藍色扶梯對面近綠區,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96%E5%A4%A2%E6%99%82%E4%BB%A3%E5%BA%97+%E8%97%8D%E9%AF%A8%E9%A4%A86%E6%A8%93%E8%97%8D%E8%89%B2%E6%89%B6%E6%A2%AF%E5%B0%8D%E9%9D%A2%E8%BF%91%E7%B6%A0%E5%8D%80/data=!4m7!3m6!1s0x346e0372de29c9a9:0x68be1faa84c88e4b!8m2!3d22.5954046!4d120.3071294!16s%2Fg%2F11gd20ntx1!19sChIJqckp3nIDbjQRS47IhKofvmg?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶舖（岡山店）,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96%EF%BC%88%E5%B2%A1%E5%B1%B1%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x346e0dd4572dd81d:0xbe236c0b86de9101!8m2!3d22.7994078!4d120.2908221!16s%2Fg%2F11tnbndgl0!19sChIJHdgtV9QNbjQRAZHehgtsI74?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶鋪 - 自由店,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E9%8B%AA+-+%E8%87%AA%E7%94%B1%E5%BA%97/data=!4m7!3m6!1s0x346e050bb6b4537b:0xf76aece10373c61b!8m2!3d22.6618727!4d120.3088282!16s%2Fg%2F11v3z1mzx_!19sChIJe1O0tgsFbjQRG8ZzA-Hsavc?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶鋪 - 新富店,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E9%8B%AA+-+%E6%96%B0%E5%AF%8C%E5%BA%97/data=!4m7!3m6!1s0x346e1bcaab86e23f:0xfd1acaaeca0ddb69!8m2!3d22.6129007!4d120.3443648!16s%2Fg%2F11v3z1p58j!19sChIJP-KGq8obbjQRadsNyq7KGv0?authuser=0&hl=zh-TW&rclk=1
東洲黑糖奶舖 - 後昌店,https://www.google.com/maps/place/%E6%9D%B1%E6%B4%B2%E9%BB%91%E7%B3%96%E5%A5%B6%E8%88%96+-+%E5%BE%8C%E6%98%8C%E5%BA%97/data=!4m7!3m6!1s0x346e0fba03836537:0x13f4eab01459de80!8m2!3d22.71034!4d120.29657!16s%2Fg%2F11t1d4strc!19sChIJN2WDA7oPbjQRgN5ZFLDq9BM?authuser=0&hl=zh-TW&rclk=1
炫の日式舒芙蕾鬆餅專賣,"https://www.google.com/maps/place/%E7%82%AB%E3%81%AE%E6%97%A5%E5%BC%8F%E8%88%92%E8%8A%99%E8%95%BE%E9%AC%86%E9%A4%85%E5%B0%88%E8%B3%A3/@22.982421,120.2160459,17z/data=!3m1!4b1!4m6!3m5!1s0x346e776f09010e73:0xca391c731055a5b4!8m2!3d22.982421!4d120.2186208!16s%2Fg%2F11t830qvk5?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
碳烤雄大香雞排,https://www.google.com/maps/place/%E7%A2%B3%E7%83%A4%E9%9B%84%E5%A4%A7%E9%A6%99%E9%9B%9E%E6%8E%92/data=!4m7!3m6!1s0x346e7751565f1abb:0xbfde111288ec2!8m2!3d22.9828512!4d120.2185329!16s%2Fg%2F11tn48d63m!19sChIJuxpfVlF3bjQRwo4oEeH9CwA?authuser=0&hl=zh-TW&rclk=1
碳烤雄大香雞排 台南總店,https://www.google.com/maps/place/%E7%A2%B3%E7%83%A4%E9%9B%84%E5%A4%A7%E9%A6%99%E9%9B%9E%E6%8E%92+%E5%8F%B0%E5%8D%97%E7%B8%BD%E5%BA%97/data=!4m7!3m6!1s0x346e7700619b70bd:0x525ebd6444d20605!8m2!3d23.0109038!4d120.1996384!16s%2Fg%2F11ybxt0gvd!19sChIJvXCbYQB3bjQRBQbSRGS9XlI?authuser=0&hl=zh-TW&rclk=1
碳烤雄大香雞排,https://www.google.com/maps/place/%E7%A2%B3%E7%83%A4%E9%9B%84%E5%A4%A7%E9%A6%99%E9%9B%9E%E6%8E%92/data=!4m7!3m6!1s0x346e77e57df230e7:0x3a457155fdb4d464!8m2!3d23.0039373!4d120.1902577!16s%2Fg%2F11kk7d85lp!19sChIJ5zDyfeV3bjQRZNS0_VVxRTo?authuser=0&hl=zh-TW&rclk=1
陳大民麻辣鴨血（大東東夜市）,"https://www.google.com/maps/place/%E9%99%B3%E5%A4%A7%E6%B0%91%E9%BA%BB%E8%BE%A3%E9%B4%A8%E8%A1%80(%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82)/@22.982835,120.2161287,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7744849bec4b:0xe45a1656a317a798!8m2!3d22.982835!4d120.2187036!16s%2Fg%2F11gw34x68g?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
林桑Laksa麵,"https://www.google.com/maps/place/%E6%9E%97%E6%A1%91Laksa%E9%BA%B5/@22.9827851,120.2161437,17z/data=!3m1!4b1!4m6!3m5!1s0x346e769b76dedfa5:0x64b4068c552324a!8m2!3d22.9827851!4d120.2187186!16s%2Fg%2F11ddy9rf1r?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
四川麻辣串串香,https://www.google.com/maps/place/%E5%9B%9B%E5%B7%9D%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99/data=!4m7!3m6!1s0x346e769b701e8bcb:0xc2c2d42b5e4d8717!8m2!3d22.982821!4d120.218828!16s%2Fg%2F12hk8lsk3!19sChIJy4secJt2bjQRF4dNXivUwsI?authuser=0&hl=zh-TW&rclk=1
四川麻辣串串香-崇德店,https://www.google.com/maps/place/%E5%9B%9B%E5%B7%9D%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99-%E5%B4%87%E5%BE%B7%E5%BA%97/data=!4m7!3m6!1s0x346e769e245b99c5:0xd0c7172f00752ee2!8m2!3d22.975995!4d120.2244796!16s%2Fg%2F11c1s5n8vt!19sChIJxZlbJJ52bjQR4i51AC8Xx9A?authuser=0&hl=zh-TW&rclk=1
四川麻辣串串香（大同店）,https://www.google.com/maps/place/%E5%9B%9B%E5%B7%9D%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99%EF%BC%88%E5%A4%A7%E5%90%8C%E5%BA%97%EF%BC%89/data=!4m7!3m6!1s0x346e779a9d3b77d1:0x9246631795e20d4c!8m2!3d22.9715678!4d120.2130964!16s%2Fg%2F11qh2xgq1c!19sChIJ0Xc7nZp3bjQRTA3ilRdjRpI?authuser=0&hl=zh-TW&rclk=1
四川麻辣串串香 成大店,https://www.google.com/maps/place/%E5%9B%9B%E5%B7%9D%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99+%E6%88%90%E5%A4%A7%E5%BA%97/data=!4m7!3m6!1s0x346e76ee77a041ad:0x42d26bd5850390cc!8m2!3d23.0042018!4d120.2188736!16s%2Fg%2F11f1463hqy!19sChIJrUGgd-52bjQRzJADhdVr0kI?authuser=0&hl=zh-TW&rclk=1
辣吉點正宗成都串串香市民店,https://www.google.com/maps/place/%E8%BE%A3%E5%90%89%E9%BB%9E%E6%AD%A3%E5%AE%97%E6%88%90%E9%83%BD%E4%B8%B2%E4%B8%B2%E9%A6%99%E5%B8%82%E6%B0%91%E5%BA%97/data=!4m7!3m6!1s0x3442ab9055ec64af:0xaf6ededf4d3989c0!8m2!3d25.0448999!4d121.550914!16s%2Fg%2F11t51svzt2!19sChIJr2TsVZCrQjQRwIk5Td_ebq8?authuser=0&hl=zh-TW&rclk=1
好吃樂蔥抓餅,https://www.google.com/maps/place/%E5%A5%BD%E5%90%83%E6%A8%82%E8%94%A5%E6%8A%93%E9%A4%85/data=!4m7!3m6!1s0x346e769b7035239f:0x7cb3a4fd2814b18c!8m2!3d22.982903!4d120.218897!16s%2Fg%2F11f6kdn66r!19sChIJnyM1cJt2bjQRjLEUKP2ks3w?authuser=0&hl=zh-TW&rclk=1
樂愛手抓餅｜新莊小吃｜餐廳｜蔥油餅｜美食推薦,https://www.google.com/maps/place/%E6%A8%82%E6%84%9B%E6%89%8B%E6%8A%93%E9%A4%85%EF%BD%9C%E6%96%B0%E8%8E%8A%E5%B0%8F%E5%90%83%EF%BD%9C%E9%A4%90%E5%BB%B3%EF%BD%9C%E8%94%A5%E6%B2%B9%E9%A4%85%EF%BD%9C%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a94d8dcf0ee7:0xdab9c0e27b8626b5!8m2!3d25.0369174!4d121.4550129!16s%2Fg%2F11sfr8ps38!19sChIJ5w7PjU2pQjQRtSaGe-LAudo?authuser=0&hl=zh-TW&rclk=1
林桑鹽水雞油雞醉雞（台南大東店）,"https://www.google.com/maps/place/%E6%9E%97%E6%A1%91%E9%B9%BD%E6%B0%B4%E9%9B%9E%E6%B2%B9%E9%9B%9E%E9%86%89%E9%9B%9E+(%E5%8F%B0%E5%8D%97%E5%A4%A7%E6%9D%B1%E5%BA%97)/@22.9828015,120.21637,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7756dd5eac9f:0x7327885889a91954!8m2!3d22.9828015!4d120.2189449!16s%2Fg%2F11txfbtxl0?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
Dizzy Bar 冰淇淋,"https://www.google.com/maps/place/Dizzy+Bar/@22.9828579,120.2164356,17z/data=!3m1!4b1!4m6!3m5!1s0x346e770c4b136f4b:0xda98a5d3863f77fd!8m2!3d22.9828579!4d120.2190105!16s%2Fg%2F11h_8v8mw0?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
三師兄古早味滷味 大東東夜市,"https://www.google.com/maps/place/%E4%BA%8C%E5%B8%AB%E5%85%84%E5%8F%A4%E6%97%A9%E5%91%B3%E6%BB%B7%E5%91%B3-%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82%EF%BC%88%E9%9B%96%E7%84%B6%E6%94%B9%E7%82%BA%E5%A4%A7%E6%9D%B1%E6%9D%B1%E5%A4%9C%E5%B8%82%E4%BD%86%E9%82%84%E6%98%AF%E4%BB%A5%E8%88%8A%E4%BD%8D%E7%BD%AE%E7%B9%BC%E7%BA%8C%E6%93%BA%E6%94%A4%EF%BC%89/@22.9829056,120.2164584,17z/data=!3m1!4b1!4m6!3m5!1s0x346e769ba326989f:0x58342f0b3c526f68!8m2!3d22.9829056!4d120.2190333!16s%2Fg%2F1tdpcyx3?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
華藝堂小上海魯味,"https://www.google.com/maps/place/%E8%8F%AF%E6%85%88%E5%A0%82%E5%B0%8F%E4%B8%8A%E6%B5%B7%E6%BB%B7%E5%91%B3%7C%E6%B0%B8%E5%BA%B7%E6%BB%B7%E5%91%B3%7C%E5%8F%B0%E5%8D%97%E5%B7%B7%E5%BC%84%E7%BE%8E%E9%A3%9F%7C%E7%BE%8E%E9%A3%9F%E6%8E%A8%E8%96%A6%7C%E6%8B%9B%E7%89%8C%E9%B4%A8%E8%A1%80%7C%E6%B0%B8%E5%BA%B7%E9%AD%AF%E5%91%B3%7C%E4%BA%BA%E6%B0%A3%E9%A4%90%E5%BB%B3%7C%E5%8F%B0%E5%8D%97%E7%BE%8E%E9%A3%9F%7C%E6%99%9A%E9%A4%90%7C%E5%AE%B5%E5%A4%9C%7C%E8%82%89%E7%87%A5%E9%A3%AF%7C%E9%AD%AF%E8%82%89%E9%A3%AF/@23.0292912,120.2526069,17z/data=!3m1!4b1!4m6!3m5!1s0x346e71ebf567c845:0x327f1f4a19f64345!8m2!3d23.0292912!4d120.2551818!16s%2Fg%2F11rwqrbg0f?entry=ttu&g_ep=EgoyMDI1MDQyMS4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D"
