餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容,留言者ID
大東夜市,張瑞欽,在地嚮導 · 7 則評論 · 10 張相片,58 分鐘前,5 顆星,,https://www.google.com/maps/contrib/115768766587467480280/reviews?hl=zh-TW
大東夜市,Jim Courville,"在地嚮導 · 507 則評論 · 1,840 張相片",4 小時前,2 顆星,嗯。沒有留下什麼印象。兩個夜市並排而立，但食物種類卻很少。很多油炸食品和遊戲。幾乎沒有地方可以處理垃圾，也沒有可以坐下來吃飯的桌子。看起來混亂且失敗,https://www.google.com/maps/contrib/112013820553611659458/reviews?hl=zh-TW
大東夜市,范啟東,在地嚮導 · 22 則評論 · 279 張相片,5 小時前,2 顆星,,https://www.google.com/maps/contrib/110971768939361183302/reviews?hl=zh-TW
大東夜市,湯家權,在地嚮導 · 237 則評論 · 903 張相片,5 小時前,5 顆星,好逛的夜市,https://www.google.com/maps/contrib/116076301724462924545/reviews?hl=zh-TW
大東夜市,蔡政吉,在地嚮導 · 12 則評論 · 14 張相片,13 小時前,4 顆星,,https://www.google.com/maps/contrib/110742061046330161941/reviews?hl=zh-TW
大東夜市,吳畢菱,2 則評論 · 4 張相片,16 小時前,2 顆星,以前逛夜市走路間距寬大舒服，現在實在太擠了，有品質的夜市文化才能長久。,https://www.google.com/maps/contrib/103706981604852111308/reviews?hl=zh-TW
大東夜市,Benjamin Yi,在地嚮導 · 990 則評論 · 21 張相片,16 小時前,4 顆星,雖然夜市規模不大，但依然是一個不錯的消磨時間的地方。,https://www.google.com/maps/contrib/116878317745940840680/reviews?hl=zh-TW
大東夜市,佑佑田,在地嚮導 · 20 則評論 · 2 張相片,23 小時前,5 顆星,很好逛 東西多樣化,https://www.google.com/maps/contrib/116471883704830502423/reviews?hl=zh-TW
大東夜市,xie frank,在地嚮導 · 35 則評論 · 53 張相片,1 天前,3 顆星,,https://www.google.com/maps/contrib/100492292713135648679/reviews?hl=zh-TW
大東夜市,Allen H. Chang,在地嚮導 · 35 則評論 · 108 張相片,1 天前,4 顆星,,https://www.google.com/maps/contrib/104831737319833854860/reviews?hl=zh-TW
大東夜市,Hank Kingsman,在地嚮導 · 12 則評論,1 天前,5 顆星,,https://www.google.com/maps/contrib/105544996122860539149/reviews?hl=zh-TW
大東夜市,Nabila Putri Rachmadani,在地嚮導 · 4 則評論 · 16 張相片,1 天前,5 顆星,有各種適合穆斯林的食物：清真土耳其沙瓦瑪（就像在印尼一樣）、巨型章魚、炸墨魚、泰式茶、魚餅、蜜汁地瓜、甜玉米、地瓜球、柳橙汁檸檬汁,https://www.google.com/maps/contrib/109031731271367708968/reviews?hl=zh-TW
大東夜市,YC CHU,在地嚮導 · 54 則評論 · 240 張相片,1 天前,3 顆星,,https://www.google.com/maps/contrib/111449427582221890617/reviews?hl=zh-TW
大東夜市,吳宜桑,在地嚮導 · 6 則評論 · 1 張相片,1 天前,5 顆星,,https://www.google.com/maps/contrib/103918140530091784388/reviews?hl=zh-TW
大東夜市,ying xuan,6 則評論 · 9 張相片,1 天前,5 顆星,,https://www.google.com/maps/contrib/100346693588473095334/reviews?hl=zh-TW
大東夜市,James Chen,"在地嚮導 · 375 則評論 · 1,906 張相片",2 天前,5 顆星,"從年輕逛到中年～逛了24年
變成大東和大東東有點不習慣",https://www.google.com/maps/contrib/101798529615365568018/reviews?hl=zh-TW
大東夜市,부금문,在地嚮導 · 77 則評論 · 124 張相片,2 天前,5 顆星,分成大東和大東東後第一次去,https://www.google.com/maps/contrib/116770336862681441921/reviews?hl=zh-TW
大東夜市,Arylena Hayloft,在地嚮導 · 48 則評論 · 41 張相片,3 天前,5 顆星,真的很棒的夜市，有很多種類的美味食物。一點也不後悔。,https://www.google.com/maps/contrib/114780291463186260069/reviews?hl=zh-TW
大東夜市,CS Kuo,在地嚮導 · 291 則評論 · 692 張相片,3 天前,5 顆星,,https://www.google.com/maps/contrib/100381899523898638134/reviews?hl=zh-TW
大東夜市,Chen Hung,在地嚮導 · 18 則評論 · 7 張相片,3 天前,5 顆星,,https://www.google.com/maps/contrib/113231873430999192530/reviews?hl=zh-TW
大東夜市,小晴,在地嚮導 · 37 則評論 · 5 張相片,3 天前,1 顆星,一顆星給槍射氣球的老闆，還沒完就問老闆一局多少老闆就說錢不用管打就對了，而且還卡彈兩三次說要補也沒補，結果朋友打中六顆有一隻娃娃（小隻的）我們兩個人各玩一局（因該是兩百）老闆卻跟我們收400元，希望大家別受騙（此攤販在射弓手旁邊）請大家注意,https://www.google.com/maps/contrib/116519032824248284165/reviews?hl=zh-TW
大東夜市,Chang Duncan,在地嚮導 · 32 則評論 · 12 張相片,3 天前,2 顆星,人擠爆 …擠了一圈。花了1個多小時買了個排骨酥…,https://www.google.com/maps/contrib/113368871390117604533/reviews?hl=zh-TW
大東夜市,Shuk Chun Cheung,在地嚮導 · 173 則評論 · 44 張相片,4 天前,4 顆星,好多食物選擇，但有鐵板牛排就有d懷疑牛嘅成份,https://www.google.com/maps/contrib/103344176671874752382/reviews?hl=zh-TW
大東夜市,高菀妤,在地嚮導 · 35 則評論 · 3 張相片,4 天前,5 顆星,非常好逛逛,https://www.google.com/maps/contrib/109671411364914363115/reviews?hl=zh-TW
大東夜市,顏書舲,在地嚮導 · 28 則評論 · 27 張相片,4 天前,5 顆星,,https://www.google.com/maps/contrib/118410139153076821896/reviews?hl=zh-TW
大東夜市,王元宏,在地嚮導 · 39 則評論 · 3 張相片,4 天前,5 顆星,,https://www.google.com/maps/contrib/108337328310926147764/reviews?hl=zh-TW
大東夜市,劉彥妤,在地嚮導 · 1 則評論,5 天前,5 顆星,,https://www.google.com/maps/contrib/116896877106414751417/reviews?hl=zh-TW
大東夜市,YaWen Hsu,在地嚮導 · 29 則評論 · 9 張相片,5 天前,5 顆星,很多吃的！,https://www.google.com/maps/contrib/110752760173319139317/reviews?hl=zh-TW
大東夜市,劉慶明,在地嚮導 · 10 則評論 · 8 張相片,5 天前,5 顆星,,https://www.google.com/maps/contrib/111075708045240135260/reviews?hl=zh-TW
大東夜市,張巧虎,"在地嚮導 · 549 則評論 · 3,321 張相片",5 天前,4 顆星,還行,https://www.google.com/maps/contrib/106601870387301522199/reviews?hl=zh-TW
大東夜市,Vivian Lau,在地嚮導 · 17 則評論 · 242 張相片,5 天前,4 顆星,,https://www.google.com/maps/contrib/110298153680994397726/reviews?hl=zh-TW
大東夜市,咻咻蹦,5 則評論,5 天前,3 顆星,攤販有點少，但整體規劃還不錯,https://www.google.com/maps/contrib/102595430086848238232/reviews?hl=zh-TW
大東夜市,陳文捷,3 則評論 · 2 張相片,6 天前,2 顆星,,https://www.google.com/maps/contrib/112049319777382457214/reviews?hl=zh-TW
大東夜市,Sun,8 則評論 · 4 張相片,6 天前,5 顆星,,https://www.google.com/maps/contrib/109476581351628269318/reviews?hl=zh-TW
