餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容,留言者ID
大甲芋頭牛奶-花園夜市,葉偉澤,"在地嚮導 · 273 則評論 · 3,110 張相片",3 個月前,5 顆星,不過不失,https://www.google.com/maps/contrib/108085119897266808230/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,YuWei Kuo (賤兔),183 則評論 · 157 張相片,2 週前,2 顆星,"外送描述每盒300克重？
偷工減料，可悲。
1、這是含盒子的克重
2、裡面有放雞雜與筍乾
所以實際醉雞、油雞根本不足克重！",https://www.google.com/maps/contrib/100338698774781491305/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,莊程皓,325 則評論 · 207 張相片,3 個月前,5 顆星,超大雞雞就是讚👍,https://www.google.com/maps/contrib/113054662619157245757/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,陳寶寶,在地嚮導 · 39 則評論 · 23 張相片,3 個月前,5 顆星,份量很足❤️,https://www.google.com/maps/contrib/112734757553501782252/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,方Kiki,在地嚮導 · 9 則評論 · 16 張相片,4 個月前,5 顆星,好吃☺️,https://www.google.com/maps/contrib/105494893656580786759/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,Penny Chen,在地嚮導 · 14 則評論 · 21 張相片,5 個月前,2 顆星,"有點傻眼🙄️
沒吃過這麼沒有味道的鹽水雞。
米血水煮過頭的軟爛，
但卻沒有味道⋯
海帶芽也是。
然後雞冠也不脆，
唯一可以接受的是小黃瓜和玉米筍。
不推薦也不會再買了。",https://www.google.com/maps/contrib/116364104153964252092/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,劉淮忻,在地嚮導 · 25 則評論 · 20 張相片,6 個月前,1 顆星,"剛剛買到的鹹水雞，整個酸掉😣😣😣
現在食安問題，難道不應該重視嗎🤢",https://www.google.com/maps/contrib/108211146131587042808/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,伍梓萱,6 則評論 · 2 張相片,7 個月前,5 顆星,,https://www.google.com/maps/contrib/114586673795975789028/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,莊惠如,在地嚮導 · 35 則評論 · 304 張相片,7 個月前,5 顆星,,https://www.google.com/maps/contrib/111608548556319006279/reviews?hl=zh-TW
戰鬥雞 油雞/醉雞 台南北區花園夜市創始店 ｜涼拌鮮雞｜鮮燙蔬菜｜泰式酸辣｜必吃油雞｜人氣醉雞｜健身運動｜健康餐盒｜增肌減脂｜外帶美食｜特色小吃｜台南美食推薦,LIN YA,12 則評論 · 1 張相片,7 個月前,5 顆星,,https://www.google.com/maps/contrib/117134517976403596004/reviews?hl=zh-TW
