餐廳名稱,留言者,留言者身分,留言時間,星級評等,評論內容,留言者ID
海之味魷魚工坊,Shiu Yu han,在地嚮導 · 24 則評論 · 8 張相片,1 個月前,5 顆星,老闆烤的魷魚超好吃🦑！！！ …,https://www.google.com/maps/contrib/108903389734677604021/reviews?hl=zh-TW
海之味魷魚工坊,球兒丶,在地嚮導 · 17 則評論 · 4 張相片,1 年前,5 顆星,老闆很阿莎力❤️已去多次購買❤️買多有甜甜價，對狗狗也很友善❤️,https://www.google.com/maps/contrib/100594761200002608982/reviews?hl=zh-TW
海之味魷魚工坊,陳立晴,2 則評論 · 1 張相片,3 年前,5 顆星,碳烤魷魚頭超好吃！！,https://www.google.com/maps/contrib/104314915210500383058/reviews?hl=zh-TW
私立武聖幼兒園,洪磚主,在地嚮導 · 53 則評論 · 36 張相片,1 個月前,5 顆星,,https://www.google.com/maps/contrib/105288213418028940151/reviews?hl=zh-TW
私立武聖幼兒園,麥特威,9 則評論 · 4 張相片,1 年前,5 顆星,老師給孩子的教育很是讓父母能以孩子為榮底確是中西區著實用心的好學校；推薦👍 …,https://www.google.com/maps/contrib/102857367867399893479/reviews?hl=zh-TW
私立武聖幼兒園,帕帕,2 則評論,3 年前,5 顆星,,https://www.google.com/maps/contrib/115343893412994274576/reviews?hl=zh-TW
私立武聖幼兒園,杜佳穎,9 則評論 · 1 張相片,4 年前,5 顆星,,https://www.google.com/maps/contrib/114050967508098569414/reviews?hl=zh-TW
私立武聖幼兒園,瑋尹,在地嚮導 · 23 則評論 · 2 張相片,5 年前,1 顆星,,https://www.google.com/maps/contrib/100637950557055105269/reviews?hl=zh-TW
私立武聖幼兒園,邱玲,在地嚮導 · 42 則評論 · 33 張相片,6 年前,5 顆星,,https://www.google.com/maps/contrib/109065151929151958478/reviews?hl=zh-TW
私立武聖幼兒園,Nikki Kung,8 則評論 · 11 張相片,6 年前,5 顆星,好學校！,https://www.google.com/maps/contrib/110671843075791672543/reviews?hl=zh-TW
私立武聖幼兒園,郭小規,在地嚮導 · 25 則評論 · 44 張相片,7 年前,5 顆星,,https://www.google.com/maps/contrib/117017695825202926902/reviews?hl=zh-TW
私立武聖幼兒園,Zona,15 則評論,7 年前,1 顆星,,https://www.google.com/maps/contrib/104883579260235979297/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,兔兔鳥,24 則評論,1 個月前,5 顆星,烤一夜乾真的超好吃，老闆人也很好。,https://www.google.com/maps/contrib/109028849288857991450/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,吳品萱,在地嚮導 · 20 則評論 · 10 張相片,1 個月前,1 顆星,點了酒蒸蛤蜊結果送來這碗大部分蛤蠣爛肉超不新鮮，只吃了一顆不敢再吃，後來送上來的烤牡蠣也一顆沒碰，付了錢趕快跑，從來沒有吃過這麼離譜的蛤蠣🥲希望不要拉肚子！ …,https://www.google.com/maps/contrib/109988182871001746375/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Kate,在地嚮導 · 33 則評論 · 21 張相片,2 個月前,5 顆星,,https://www.google.com/maps/contrib/118153711700062033364/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Ellie,在地嚮導 · 36 則評論 · 16 張相片,3 個月前,2 顆星,"善化夜市吃到一樣叫牡蠣大叔
（找不到善化據點故在這留言）
又貴！又不新鮮！
老闆邊烤邊聞….？看起來像是把臭掉的丟掉
我敢吃海鮮的都覺得臭車@@
200整份沒吃完就丟了
完全不會想再去吃，請加油好嗎",https://www.google.com/maps/contrib/101660316184172045537/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Ina Chang,6 則評論 · 1 張相片,7 個月前,5 顆星,"烤生蠔非常美味
好幸福🥺🩵
下次來台南還要吃 …",https://www.google.com/maps/contrib/114598149600752899979/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Winston Chang,在地嚮導 · 464 則評論 · 677 張相片,9 個月前,5 顆星,"這麼優秀的店一定要大推

牡蠣跟蛤蜊都很肥美

老闆從業十幾年 技術熟練

熟度掌握的很好

價格也非常合理

很適合來補充一下營養",https://www.google.com/maps/contrib/112150130329431748946/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,蘇子堯,在地嚮導 · 59 則評論 · 59 張相片,10 個月前,5 顆星,,https://www.google.com/maps/contrib/118223273969672321006/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,葉俊甫,在地嚮導 · 102 則評論 · 413 張相片,10 個月前,5 顆星,"牡蠣烤的很剛好、剛好香、剛好嫩、剛好甜，很讚。
一夜干也烤的很棒。
下次還會來～
相片是吃到一半，覺得該推，所以才拍的～",https://www.google.com/maps/contrib/101751882056125708358/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,黃敏,在地嚮導 · 412 則評論 · 458 張相片,10 個月前,4 顆星,11顆150還可以，不知道是不是季節關係，牡蠣不大顆，但還算新鮮,https://www.google.com/maps/contrib/109622395446169738080/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,黃士桓,"在地嚮導 · 325 則評論 · 1,488 張相片",11 個月前,5 顆星,超好吃  每次去武聖夜市第一站直奔,https://www.google.com/maps/contrib/104735580754177757001/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,YJ,"在地嚮導 · 555 則評論 · 2,563 張相片",1 年前,5 顆星,"｜牡蠣大叔 カキおじさん海鮮燒物（武聖夜市點）

武聖夜市知名烤蚵
新鮮多汁肥嫩好吃，旅途的疲憊直接被蚵蚵的精氣神充飽了。

還有那個午魚一夜干，肥啦，讚！

酒蒸蛤蜊也是讚的，最後飽到吃不下武聖夜市的其他美食。

有來武聖夜市遊玩，很值得來吃吃看。",https://www.google.com/maps/contrib/103348568415144179619/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,劉佳佳漢唐交趾陶劉佳玲團隊（CHI）,"在地嚮導 · 1,154 則評論 · 25,618 張相片",1 年前,5 顆星,整體而言～不錯吃。。。,https://www.google.com/maps/contrib/112139481199821831058/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,陳昀,"在地嚮導 · 566 則評論 · 5,448 張相片",1 年前,5 顆星,新鮮味美，熱情親切～,https://www.google.com/maps/contrib/116295774025363928002/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Elena Chen,在地嚮導 · 40 則評論 · 4 張相片,1 年前,5 顆星,考蚵太好吃了,https://www.google.com/maps/contrib/112449294852983478897/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Aeson Wang,在地嚮導 · 23 則評論 · 3 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/104396279070976292492/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,吳梓瑜,7 則評論,1 年前,5 顆星,"餐點新鮮
人員服務態度良好值得一吃再吃",https://www.google.com/maps/contrib/113144681274416782909/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Giro Lee,6 則評論,1 年前,5 顆星,,https://www.google.com/maps/contrib/102590219671210642659/reviews?hl=zh-TW
牡蠣大叔（武聖夜市點）,Lisa,在地嚮導 · 40 則評論 · 29 張相片,1 年前,5 顆星,,https://www.google.com/maps/contrib/111707541098208127436/reviews?hl=zh-TW
