夜市名稱,餐廳名稱,餐廳地址,餐廳連結
武聖夜市,海之味魷魚工坊,700台南市中西區武聖路151巷49弄5號,https://www.google.com/maps/place/%E6%B5%B7%E4%B9%8B%E5%91%B3%E9%AD%B7%E9%AD%9A%E5%B7%A5%E5%9D%8A/data=!4m7!3m6!1s0x346e7768a37f9547:0x361ab2ebbbd25176!8m2!3d23.0048889!4d120.1903033!16s%2Fg%2F11ry4rd4ly!19sChIJR5V_o2h3bjQRdlHSu-uyGjY?authuser=0&hl=zh-TW&rclk=1
武聖夜市,戲漁蒸鮮烤魚,700台南市中西區武聖路69巷101號,https://www.google.com/maps/place/%E6%88%B2%E6%BC%81%E8%92%B8%E9%AE%AE%E7%83%A4%E9%AD%9A/data=!4m7!3m6!1s0x346e779ff2eb3729:0xde6f679f3ed61e78!8m2!3d23.0039352!4d120.1901755!16s%2Fg%2F11krbqv8nt!19sChIJKTfr8p93bjQReB7WPp9nb94?authuser=0&hl=zh-TW&rclk=1
武聖夜市,私立武聖幼兒園,700台南市中西區武聖路151巷49弄5號,"https://www.google.com/maps/place/%E7%A7%81%E7%AB%8B%E6%AD%A6%E8%81%96%E5%B9%BC%E5%85%92%E5%9C%92/@23.0048441,120.1877344,17z/data=!3m1!4b1!4m6!3m5!1s0x346e764263628b45:0xf29376612210427d!8m2!3d23.0048441!4d120.1903093!16s%2Fg%2F1wcx9vb5?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,牡蠣大叔（武聖夜市點）,700台南市中西區武聖路69巷40弄14號,"https://www.google.com/maps/place/%E7%89%A1%E8%A0%A3%E5%A4%A7%E5%8F%94%EF%BC%88%E6%AD%A6%E8%81%96%E5%A4%9C%E5%B8%82%E9%BB%9E%EF%BC%89/@23.0047757,120.1879457,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7642c3c611f3:0x8929562b8ecfea3c!8m2!3d23.0047757!4d120.1905206!16s%2Fg%2F1pztkh0nb?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,丹丹香蔥油餅-武聖店,700台南市中西區武聖路151巷49弄7號,"https://www.google.com/maps/place/%E4%B8%B9%E4%B8%B9%E9%A6%99%E8%94%A5%E6%B2%B9%E9%A4%85-%E6%AD%A6%E8%81%96%E5%BA%97/@23.0047508,120.1879366,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77373703670f:0x5d54befe6949c4a1!8m2!3d23.0047508!4d120.1905115!16s%2Fg%2F11kpdzs33b?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,鄉城蚵仔煎,700台南市中西區武聖路69巷40弄12號,"https://www.google.com/maps/place/%E9%84%89%E5%9F%8E%E8%9A%B5%E4%BB%94%E7%85%8E/@23.0048147,120.1879517,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7774bde3a4fb:0x26f946cb897ede89!8m2!3d23.0048147!4d120.1905266!16s%2Fg%2F11stpkq36j?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,韓欣 韓國食品直販所,700台南市中西區武聖路69巷40弄20號,"https://www.google.com/maps/place/%E9%9F%93%E6%AC%A3+%E9%9F%93%E5%9C%8B%E9%A3%9F%E5%93%81%E7%9B%B4%E8%B2%A9%E6%89%80/@23.004732,120.1881253,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77c708f34915:0x1257e2dd169b1041!8m2!3d23.004732!4d120.1907002!16s%2Fg%2F11pd21pqkn?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
武聖夜市,武聖夜市 阿樂牛排,700台南市中西區武聖路69巷,https://www.google.com/maps/place/%E6%AD%A6%E8%81%96%E5%A4%9C%E5%B8%82+%E9%98%BF%E6%A8%82%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e768a83c02db5:0xd65b7a06656420d4!8m2!3d23.00391!4d120.190386!16s%2Fg%2F1pzxnsxsf!19sChIJtS3Ag4p2bjQR1CBkZQZ6W9Y?authuser=0&hl=zh-TW&rclk=1
武聖夜市,武聖夜市,700台南市中西區武聖路69巷,https://www.google.com/maps/place/%E6%AD%A6%E8%81%96%E5%A4%9C%E5%B8%82/data=!4m7!3m6!1s0x346e76427e24d273:0xc9d5491f9112950f!8m2!3d23.003458!4d120.1905098!16s%2Fg%2F1tg6sg5j!19sChIJc9IkfkJ2bjQRD5USkR9J1ck?authuser=0&hl=zh-TW&rclk=1
武聖夜市,小福氣牛排,700台南市中西區光賢街,https://www.google.com/maps/place/%E5%B0%8F%E7%A6%8F%E6%B0%A3%E7%89%9B%E6%8E%92/data=!4m7!3m6!1s0x346e7642888aee25:0x91fa4f269d3dedfa!8m2!3d23.0047871!4d120.1908431!16s%2Fg%2F11tnhfmr92!19sChIJJe6KiEJ2bjQR-u09nSZP-pE?authuser=0&hl=zh-TW&rclk=1
武聖夜市,林家豆乳雞,700台南市中西區武聖路69巷42號,"https://www.google.com/maps/place/%E6%9E%97%E5%AE%B6%E8%B1%86%E4%B9%B3%E9%9B%9E/@23.0047745,120.1884121,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7722f09f02c3:0x2e360c0e57381474!8m2!3d23.0047745!4d120.190987!16s%2Fg%2F11t_zky1rk?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D"
